node,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10
0,1854,173757,10893,320622,25179,402132,14887,646098,43393,377916,103074,3645681,153230,4589587,101027,290404,36254,332671,5865,152698,15741,168080,1117
1,959,91088,715,91499,5155,148240,4803,354738,9636,263805,52855,3332574,349830,4710081,52113,239156,9480,234794,1931,182998,1150,0,0
2,0,0,0,0,1397,129813,8071,134673,4365,136401,14854,2571989,123461,4723777,43696,399343,2560,0,0,0,0,0,0
3,827,91297,521,91480,1273,139759,14745,178748,43683,570329,127513,2908370,115089,4683013,146370,738539,43618,158536,22591,61111,188,0,0
4,0,0,0,76,12732,169546,13553,245182,7253,266678,55005,3372671,245201,5154394,70226,440914,10538,70605,3015,11,0,0,0
5,0,0,0,307,22305,458313,48786,724367,40967,562466,116560,3847693,115612,4535074,142530,696646,28291,263136,9078,29,0,0,0
6,0,0,0,68,5239,110611,24695,91535,7055,175508,25795,2583043,56276,4793302,74953,341132,5188,0,0,0,0,0,0
7,0,0,0,68,5239,110611,24695,91535,7055,175508,25442,2582578,59029,4791774,74546,341132,5188,0,0,0,0,0,0
8,0,0,0,71,5425,111466,23857,92945,5432,175510,24868,2579003,70879,4785771,70024,343821,5328,0,0,0,0,0,0
