,rank,count
0,0,7
1,1,98
2,2,637
3,3,2555
4,4,7099
5,5,14575
6,6,23135
7,7,29575
8,8,31941
9,9,31031
10,10,29029
11,11,27001
12,12,24089
13,13,19117
14,14,12565
15,15,6461
16,16,2464
17,17,651
18,18,106
19,19,8
