Rank,Count (Max),Count (Avg)
0,16,16
1,258,258
2,1968,1968
3,9525,9525
4,32642,32650
5,84227,84370
6,170842,171964
7,280276,285798
8,382216,402870
9,451838,509579
10,478371,600654
11,477917,682984
12,471748,748983
13,473246,780372
14,483915,764264
15,487136,705271
16,479404,625583
17,453846,552368
18,416234,491273
19,373667,439287
20,333933,381192
21,303792,316092
22,282235,244308
23,270902,171263
24,265205,101674
25,262114,47055
26,259618,16915
27,248599,5076
28,224676,1195
29,193590,208
30,161982,19
31,132940,4
32,100947,2
33,67288,0
34,36736,0
35,15369,0
36,4709,0
37,983,0
38,123,0
39,7,0
