Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8
2,0,0,0,0,0,0,0,0,1
3,0,0,1,0,0,2,2,1,0
4,2,1,1,1,1,0,1,4,0
5,9,4,5,2,4,3,5,6,2
6,5,7,7,8,2,2,4,7,11
7,13,18,12,7,9,9,9,19,22
8,23,31,20,20,11,23,21,28,32
9,25,35,28,27,29,27,23,39,51
10,51,56,40,39,35,65,43,81,65
11,85,88,88,73,49,84,63,121,100
12,142,150,109,80,75,118,87,160,137
13,185,236,158,127,122,181,136,229,213
14,261,296,214,147,174,256,177,325,306
15,302,358,275,202,218,297,234,373,332
16,410,506,378,274,304,442,344,580,541
17,578,661,506,398,412,596,433,778,712
18,638,790,586,434,418,689,522,848,768
19,921,1084,768,533,612,948,734,1155,1145
20,1115,1271,906,683,770,1134,845,1387,1367
21,1279,1507,985,802,816,1218,976,1544,1538
22,1600,1888,1258,982,1118,1464,1309,1929,1966
23,1969,2238,1479,1113,1361,1732,1489,2292,2339
24,2067,2350,1623,1196,1406,1920,1579,2408,2433
25,2422,2772,1926,1442,1651,2309,1902,2949,2786
26,2648,3061,2039,1658,1880,2529,2112,3178,3121
27,2826,3291,2166,1709,2076,2738,2381,3330,3216
28,3216,3576,2434,2046,2294,2979,2648,3540,3741
29,3357,3800,2701,2191,2538,3168,2921,3933,3899
30,3462,3926,2715,2250,2712,3317,2877,3914,3913
31,3732,4145,2869,2429,2901,3572,3266,4054,4153
32,3800,4190,2945,2628,3047,3537,3476,4195,4041
33,3820,4289,3079,2647,3176,3622,3586,4027,4086
34,3855,4176,3093,2834,3318,3620,3659,4078,4001
35,3997,4062,3238,2939,3436,3647,3543,3834,3998
36,3891,4004,3171,2937,3384,3619,3601,3819,3886
37,3728,3856,3158,3126,3465,3505,3635,3617,3782
38,3501,3596,3061,2978,3377,3514,3557,3473,3427
39,3572,3453,2956,3037,3460,3451,3542,3370,3422
40,3260,3225,3084,3030,3337,3240,3391,3106,3143
41,3097,2977,2874,2953,3304,3039,3312,2956,2795
42,2953,2826,2756,2836,3179,2947,3214,2723,2841
43,2651,2574,2642,2909,3074,2689,2946,2417,2599
44,2449,2189,2459,2778,2930,2569,2764,2200,2204
45,2318,2077,2450,2645,2731,2494,2719,2094,2090
46,2032,1815,2247,2510,2608,2199,2501,1786,1808
47,1853,1567,2222,2496,2508,2138,2306,1642,1586
48,1782,1469,2093,2398,2348,1958,2223,1495,1507
49,1565,1202,1911,2249,2123,1742,1954,1339,1297
50,1410,1041,1799,2020,1975,1565,1743,1123,1105
51,1311,1004,1715,2097,1850,1496,1721,1065,1059
52,1124,859,1639,1864,1631,1286,1488,861,881
53,967,734,1469,1777,1572,1189,1378,802,738
54,936,669,1438,1693,1473,1096,1273,735,726
55,809,537,1229,1529,1297,996,1110,603,599
56,661,494,1195,1480,1185,871,980,507,503
57,680,433,1154,1393,1102,766,964,455,482
58,592,364,1010,1264,964,663,805,368,388
59,430,303,991,1155,857,594,644,314,316
60,464,266,856,1111,842,530,638,291,270
61,403,231,838,1002,684,462,549,236,245
62,349,193,716,890,622,394,451,181,213
63,316,161,719,835,620,368,466,198,179
64,265,122,644,756,521,321,366,147,126
65,260,134,597,719,466,280,334,121,114
66,220,108,553,678,422,236,271,106,112
67,179,94,458,639,366,211,226,88,80
68,139,78,449,532,310,176,222,68,76
69,103,85,464,524,273,182,174,63,76
70,118,62,408,510,255,133,160,38,48
71,102,43,337,415,248,120,134,35,46
72,87,48,343,407,201,99,116,41,35
73,86,35,307,347,175,92,95,32,28
74,62,34,229,327,155,82,85,16,17
75,61,32,252,299,152,52,75,16,23
76,51,24,244,264,118,70,57,18,15
77,41,15,208,225,111,38,52,10,19
78,49,11,173,238,87,35,58,13,9
79,29,17,164,201,76,39,36,14,6
80,31,15,168,197,66,22,30,12,9
81,31,7,166,172,72,26,34,7,7
82,18,8,118,155,49,27,22,7,6
83,19,8,100,155,42,20,20,2,4
84,22,2,98,117,43,15,21,4,3
85,14,6,93,106,34,15,17,5,4
86,13,3,98,100,38,17,20,3,1
87,14,6,88,92,32,13,18,2,1
