Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8
1,1,1,0,0,1,0,1,1,0
4,0,0,0,0,0,0,0,0,1
5,2,0,0,0,0,2,0,1,1
6,1,0,2,2,1,0,0,1,0
7,2,3,2,0,2,1,1,5,3
8,2,6,6,3,2,9,4,6,2
9,14,7,4,7,4,6,6,11,7
10,10,16,11,4,5,10,9,12,15
11,20,29,14,12,9,18,5,19,21
12,22,23,21,8,7,21,20,21,21
13,33,46,34,17,16,27,18,44,45
14,30,41,30,18,18,35,21,53,49
15,60,69,49,26,40,43,35,90,62
16,71,85,49,34,43,61,31,87,94
17,100,112,70,43,48,103,67,110,125
18,125,147,95,45,59,96,50,176,159
19,161,201,115,58,83,145,89,222,192
20,212,210,117,75,81,166,89,224,229
21,261,317,202,97,116,226,138,326,290
22,257,358,190,105,120,248,186,382,358
23,351,426,270,159,173,312,222,462,445
24,395,497,274,169,172,371,239,519,511
25,493,619,347,197,231,441,275,651,602
26,552,678,371,213,258,457,357,703,723
27,675,832,476,282,299,594,421,888,873
28,749,933,507,275,372,669,446,945,942
29,906,1188,605,367,413,767,540,1122,1093
30,976,1260,654,394,435,780,612,1250,1234
31,1132,1319,715,473,518,960,759,1446,1414
32,1210,1505,771,473,557,1023,754,1644,1517
33,1344,1639,851,589,724,1196,895,1630,1707
34,1439,1822,975,579,691,1282,904,1843,1898
35,1630,2079,1017,601,778,1350,1045,1945,1982
36,1666,2097,1104,714,807,1431,1172,2051,2152
37,1765,2192,1109,764,961,1602,1258,2239,2217
38,1966,2362,1174,841,991,1595,1286,2446,2348
39,1969,2397,1275,898,1160,1763,1444,2449,2471
40,2137,2571,1290,902,1179,1771,1468,2542,2522
41,2216,2675,1342,1021,1328,1917,1601,2594,2626
42,2145,2650,1379,1080,1306,1969,1653,2637,2660
43,2248,2683,1442,1127,1419,1926,1728,2689,2724
44,2284,2719,1534,1139,1443,1935,1861,2678,2807
45,2266,2780,1540,1154,1513,2093,1804,2726,2812
46,2335,2715,1533,1247,1675,2003,1908,2755,2755
47,2265,2707,1628,1283,1663,2061,1975,2658,2721
48,2409,2671,1631,1286,1750,2114,1947,2674,2666
49,2390,2649,1627,1331,1746,2063,1978,2541,2651
50,2250,2595,1679,1321,1753,2010,2076,2575,2563
51,2168,2614,1618,1414,1801,2075,2013,2548,2495
52,2237,2448,1611,1468,1849,2031,1993,2313,2439
53,2178,2360,1653,1413,1751,2018,2062,2281,2341
54,2200,2275,1708,1430,1747,1907,2046,2218,2223
55,2054,2230,1679,1481,1817,1880,2061,2014,2134
56,1899,2112,1492,1484,1799,1872,1945,1998,2077
57,1935,1987,1561,1416,1714,1861,1989,1934,1937
58,1855,1865,1519,1479,1749,1758,1933,1851,1839
59,1725,1659,1546,1404,1620,1653,1909,1669,1705
60,1764,1767,1499,1488,1719,1649,1915,1581,1574
61,1687,1597,1389,1436,1660,1535,1733,1492,1510
62,1678,1480,1411,1392,1615,1609,1801,1416,1469
63,1501,1416,1367,1405,1516,1432,1674,1353,1464
64,1410,1334,1347,1310,1584,1389,1694,1296,1336
65,1383,1111,1373,1314,1531,1317,1554,1218,1159
66,1295,1144,1237,1272,1512,1344,1441,1084,1079
67,1235,992,1206,1288,1409,1161,1445,1067,1082
68,1176,964,1254,1239,1452,1200,1426,1011,971
