Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6
1,39081,39036,39105,39098,39106,39168,39111
2,40403,40388,40285,40352,40252,40155,40301
3,17227,17241,17237,17174,17298,17355,17225
4,3058,3111,3144,3138,3098,3093,3121
5,21,29,44,73,17,14,35
6,111,69,88,83,79,86,103
7,97,115,88,61,135,122,104
8,2,11,9,21,15,7,0
