Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9
1,40118,40293,40222,40023,40008,40286,40202,40041,39866,40017
2,30628,30480,30438,30469,30399,30429,30417,30645,30749,30712
3,17608,17702,17817,17860,17934,17762,17813,17792,17769,17740
4,7754,7781,7760,7816,7831,7770,7779,7774,7835,7821
5,2840,2739,2768,2762,2767,2692,2765,2789,2787,2664
6,859,817,822,869,860,862,832,783,802,855
7,55,13,18,18,23,74,10,24,12,21
8,69,85,84,91,79,72,85,65,77,86
9,36,82,66,85,88,20,87,77,98,78
10,20,8,5,7,10,16,10,9,5,6
11,8,0,0,0,1,11,0,1,0,0
12,5,0,0,0,0,5,0,0,0,0
13,0,0,0,0,0,1,0,0,0,0
