Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9
1,40257,40234,40373,40584,40119,40336,40173,40243,40278,40378
2,30307,30122,30154,30125,30350,30240,30376,30247,30526,30138
3,17764,17865,17813,17673,17885,17741,17839,17967,17553,17814
4,7836,7958,7954,7918,7922,7841,7815,7829,7821,7900
5,2865,2829,2736,2707,2741,2827,2796,2739,2817,2784
6,245,97,96,81,79,402,86,107,94,89
7,356,440,388,448,340,338,409,394,407,398
8,206,377,395,382,453,154,413,387,419,416
9,111,76,83,79,106,56,87,84,75,77
10,43,2,8,3,5,41,6,3,10,6
11,9,0,0,0,0,16,0,0,0,0
12,1,0,0,0,0,6,0,0,0,0
13,0,0,0,0,0,1,0,0,0,0
15,0,0,0,0,0,1,0,0,0,0
