Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6
1,39198,39133,39167,39133,39136,39173,39140
2,40101,40171,40164,40128,40143,40130,40253
3,3527,3387,2665,3641,2239,2568,2159
4,5906,6561,7359,7907,7000,7468,10785
5,9846,8687,8802,7134,9701,9424,6567
6,423,595,437,545,312,240,320
7,253,665,723,872,718,439,350
8,723,713,592,527,679,534,407
9,8,28,21,35,22,7,1
10,3,28,33,43,25,6,7
11,12,28,36,32,24,11,11
12,0,2,0,2,0,0,0
13,0,0,1,0,1,0,0
14,0,2,0,0,0,0,0
17,0,0,0,1,0,0,0
