Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29
1,1836,1828,1838,1831,1834,1805,1807,1810,1828,1809,1804,1830,1811,1812,1828,1820,1840,1828,1823,1783,1818,1817,1827,1813,1871,1819,1842,1822,1805,1806
2,8031,8054,8068,8088,8057,8091,8051,8078,8062,8056,8039,8025,8070,8018,8025,8003,8066,8044,8066,8113,8063,8032,8031,8087,7995,8016,8028,8076,8069,8029
3,22380,22432,22407,22369,22419,22537,22364,22607,22281,22441,22305,22590,22404,22436,22404,22408,22402,22433,22337,22379,22472,22367,22571,22484,22515,22448,22456,22347,22508,22460
4,45173,45237,45293,45046,44882,44829,45114,44738,45089,45188,45243,44836,45087,45006,45067,45208,44995,44929,45160,45120,44999,45060,44874,44849,45198,44865,44892,44982,44889,45206
5,68936,68699,68445,68885,68854,68767,68966,68878,68571,68377,68679,68757,68856,68769,68927,68718,68875,68848,68358,68411,68951,69084,68583,68902,68607,69219,68754,69029,68952,68477
6,83566,83469,83977,83505,83936,83851,83483,84193,84114,84035,84056,83760,83553,83755,83667,84103,83774,83928,84214,84000,83338,83522,84515,83535,83936,83829,83686,83910,83688,83695
7,84633,84647,84111,84686,84342,84310,84395,84164,84160,84042,84325,84508,84466,84628,84629,83963,84271,84043,84569,84787,84701,84637,84176,84620,84100,84096,84728,84101,84263,84414
8,71264,71019,71612,71162,71328,71313,71417,71757,71274,71462,71099,71426,71183,71597,71095,71312,71328,71411,71295,70956,71021,71177,71076,71189,71176,71349,71309,71599,71411,71420
9,51230,51650,51382,51625,51359,51325,51372,50979,51546,51886,51391,51269,51558,51066,51305,51460,51365,51523,51301,51451,51442,51343,51551,51453,51605,51278,51362,51584,51605,51494
10,31832,31939,32100,31797,31952,32010,31982,31833,31972,31668,32141,32002,32012,31898,31929,32113,31926,32222,31928,32215,32163,32131,31909,32046,31849,32095,31889,31473,31975,32088
11,1685,929,1219,598,776,1287,533,572,854,641,486,504,511,583,645,546,964,538,470,541,449,539,545,540,568,513,547,591,534,557
12,10289,8298,9042,7655,7839,9385,7279,7017,8004,6845,10315,10095,11686,7997,8519,8689,7953,6849,13374,7194,12866,8384,9371,10118,7437,8235,8995,8356,8245,9583
13,8691,9984,9245,12063,10772,9396,12067,11895,10528,11655,11628,11500,10749,11818,11801,11754,10389,12635,9983,12467,10384,12260,12354,11374,12437,12611,12000,12256,12029,11726
14,5174,6643,5957,6606,6640,5910,6820,6969,6669,7062,5433,5582,5092,6587,6367,6108,6693,6778,4502,6591,4691,6138,5489,5731,6648,6144,6034,6201,6329,5702
15,2809,3199,3153,2623,3201,2961,2880,3005,3176,3167,2017,2229,2036,2667,2545,2573,3223,2636,1835,2689,1772,2359,2105,2201,2749,2334,2328,2461,2473,2292
16,1440,1303,1412,1052,1264,1401,1038,1044,1291,1150,746,789,645,970,876,851,1295,978,558,910,616,805,721,729,909,796,825,871,834,767
17,635,484,522,310,387,569,328,326,413,367,219,234,215,283,276,272,460,270,170,290,189,246,220,251,295,253,240,233,289,204
18,278,133,145,69,116,185,82,100,124,111,59,43,53,91,74,78,135,80,43,81,46,81,68,54,84,80,70,81,78,60
19,79,36,56,24,37,53,17,26,30,24,10,17,10,15,17,19,36,23,12,15,11,13,11,20,17,14,12,22,20,17
20,28,16,12,5,3,14,4,7,10,10,4,1,3,3,4,0,7,3,2,5,8,4,3,4,2,5,2,5,4,3
21,10,1,3,1,1,1,1,1,4,4,0,2,0,1,0,2,2,0,0,2,0,1,0,0,2,0,1,0,0,0
23,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
