Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29
1,352,357,363,346,336,340,354,359,365,355,341,357,354,350,348,349,359,352,352,344,350,354,359,357,349,357,355,355,343,343
2,1511,1557,1551,1589,1545,1583,1542,1525,1539,1536,1585,1544,1543,1566,1550,1592,1561,1590,1558,1568,1572,1553,1542,1520,1549,1526,1553,1543,1556,1555
3,4549,4413,4541,4544,4559,4471,4531,4552,4513,4561,4514,4505,4469,4509,4560,4419,4528,4456,4512,4525,4519,4460,4611,4543,4557,4524,4486,4537,4508,4554
4,8944,9036,9031,8914,8937,9088,9059,8995,9024,8940,8976,8969,9045,9094,9019,8983,8894,9026,9086,9027,8996,9094,8928,9003,8977,8989,9053,9049,9002,9036
5,13693,13912,13670,13968,13698,13763,13701,13770,13632,13669,13633,13821,13745,13637,13789,13719,13816,13895,13696,13824,13779,13781,13838,13847,13744,13770,13691,13658,13724,13826
6,981,875,1005,654,864,946,720,710,911,831,550,483,423,750,689,642,955,686,247,757,245,672,563,535,679,655,617,700,640,588
7,10600,8709,9595,8985,8518,9469,8509,8517,8648,8108,11314,11385,12880,9413,9680,10188,8550,8270,14578,8230,14244,10051,11019,11206,9056,9344,10387,9699,9441,11023
8,15278,15343,15032,16705,15603,15244,16516,16242,15649,16083,17293,16963,16775,16589,16822,16828,15480,16930,16965,16854,16967,16851,17426,16999,16630,17380,16994,17089,16834,16869
9,14688,15569,15182,15708,15935,15182,15983,15994,15739,15989,15331,15316,14969,15826,15467,15662,15632,15990,14504,16002,14593,15672,15062,15391,15830,15762,15611,15443,15737,15471
10,11959,12487,12363,12157,12790,12343,12364,12486,12506,12572,11487,11452,11069,11938,12095,11793,12640,12237,10647,12464,10852,11758,11535,11574,12304,11831,11715,12022,12143,11587
11,8110,8532,8328,7992,8197,8360,8070,8180,8493,8348,7367,7495,7349,8045,7916,7815,8350,8149,6927,7988,6915,7762,7390,7380,7842,7719,7562,7858,7900,7361
12,1054,591,795,361,487,722,321,364,511,411,282,306,289,351,331,362,551,297,216,350,212,324,279,323,386,346,307,327,345,338
13,3006,2450,2862,2237,2416,2702,2087,2149,2484,2226,2508,2587,2778,2254,2318,2313,2533,1998,2921,2014,2857,2153,2336,2469,2096,2102,2349,2265,2202,2433
14,2416,2966,2635,3088,2935,2793,3272,3115,2857,3136,2796,2702,2472,3059,2915,2907,2925,3360,2200,3274,2284,3125,3037,2665,3244,3288,2981,2929,3191,2784
15,1445,1781,1620,1687,1877,1614,1832,1830,1755,1949,1261,1339,1162,1643,1550,1466,1843,1705,994,1727,1017,1506,1313,1373,1692,1510,1456,1611,1495,1386
16,762,898,862,712,860,775,741,779,890,835,506,521,442,633,626,627,872,710,412,695,408,577,484,539,719,588,589,586,635,565
17,402,351,382,245,303,372,292,296,328,316,178,188,155,251,231,233,342,235,132,249,128,207,195,208,240,226,208,244,212,214
18,66,24,37,4,21,70,11,7,17,12,4,6,6,4,4,6,23,8,3,16,7,8,5,5,5,3,9,5,6,4
19,97,54,59,27,44,70,30,46,47,49,34,24,34,34,44,36,54,38,26,37,31,29,18,22,31,24,39,36,32,28
20,38,48,46,48,49,66,40,48,50,54,29,24,33,39,32,38,63,48,19,39,21,48,51,31,45,44,30,30,40,31
21,32,30,26,24,21,9,19,24,35,11,10,11,7,13,8,20,21,14,4,11,3,10,6,9,22,10,7,11,10,2
22,8,13,9,4,3,15,6,9,3,8,0,1,1,2,4,1,6,5,1,4,0,5,2,1,2,1,1,2,4,1
23,3,4,3,1,2,1,0,2,4,1,1,1,0,0,2,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1
24,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
