Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16
1,8608,8611,8584,8598,8606,8587,8637,8641,8623,8640,8620,8650,8626,8640,8633,8619,8619
2,2047,2556,2284,2284,2321,2231,2176,2227,2204,2340,2271,2257,2118,1871,1127,1224,848
3,27647,25354,25666,24856,24280,24367,23752,22793,23395,23501,22893,23655,24884,26872,30537,30281,32767
4,9241,9501,8116,7845,7741,7224,6921,6694,7051,6914,6670,7109,7173,6915,5134,5656,4232
5,64550,53913,53995,51992,50634,50640,49135,47215,48072,48184,47527,48722,51489,56506,67350,68102,76319
6,17121,18734,16367,15140,14703,13954,13375,12861,13305,13405,12981,13610,13885,14451,11909,12330,8467
7,84460,74044,75920,72748,71624,72255,70385,69170,70656,70459,69495,70599,73462,78613,95530,94338,105049
8,26860,26238,22487,21014,20163,18698,18133,17296,18405,18409,17298,18032,18627,20223,17423,18135,14217
9,79725,73586,76718,76774,76252,77345,76979,76392,77603,77126,77033,76656,77754,80011,92408,91097,98361
10,27181,25802,22405,20644,20001,19008,18164,17541,18777,18946,17850,18198,18860,20350,17720,18549,14505
11,52069,56907,61416,63344,64293,65903,67110,67819,67275,67121,68088,66698,65289,63941,65745,63244,61648
12,22132,20262,17550,16570,16165,15305,14441,14678,15487,15375,14747,14455,14720,15401,12915,14195,12043
13,27343,36694,40317,43556,45482,45817,47914,49388,48119,48013,49193,48038,46095,41856,35837,34064,29722
14,14669,12854,11427,11001,10489,10139,9669,9986,10324,10473,9730,9620,9592,9750,7181,8305,8096
15,11431,20814,22780,25688,27153,28227,29788,31208,29425,29517,31050,29827,27784,23417,16023,15218,10869
16,8412,7351,6271,6275,6068,5684,5555,5927,6085,6146,5786,5676,5564,5405,3278,4097,4350
17,4492,10498,11843,13485,14801,15356,16832,17717,15797,15805,16957,16600,15167,12008,6090,5968,3629
18,4654,3845,3159,3233,3207,2915,2865,3161,3154,3214,3130,3026,2747,2590,1280,1785,2316
19,1577,4974,5608,6687,7306,7544,8363,8896,7619,7753,8694,8576,7410,5354,2137,2246,1147
20,2445,1778,1514,1510,1514,1410,1448,1535,1459,1509,1574,1460,1354,1136,482,759,1152
21,583,2328,2466,3116,3426,3541,4024,4217,3526,3502,4123,4079,3594,2392,722,795,354
22,1220,819,671,631,657,628,641,721,630,661,659,686,613,448,165,290,564
23,190,1101,1099,1378,1448,1567,1858,1926,1543,1486,1775,1849,1582,926,201,322,101
24,649,361,298,330,298,285,273,304,278,258,294,301,248,186,54,115,304
25,67,426,464,642,686,689,790,836,620,615,812,813,681,393,69,114,30
26,298,174,121,129,120,114,111,118,115,123,139,108,123,80,12,56,147
27,30,206,196,252,292,280,322,384,249,270,305,358,283,146,22,39,11
28,147,72,59,57,62,38,52,60,46,41,66,47,48,26,2,15,58
29,7,81,82,112,93,123,150,141,77,112,126,143,111,50,10,17,9
30,73,32,30,13,20,14,16,26,12,14,21,31,12,8,3,7,32
31,5,31,43,54,48,57,66,60,31,38,47,64,49,20,1,7,1
32,31,18,8,7,10,6,11,10,6,8,5,10,5,4,0,4,15
33,0,12,19,18,21,27,20,29,21,13,20,28,29,6,0,3,1
34,21,7,3,3,1,3,3,0,4,1,4,3,6,1,0,2,5
35,0,6,5,7,4,11,11,11,3,6,6,7,11,2,0,1,2
36,4,2,1,2,4,0,1,4,1,0,1,0,0,0,0,1,6
37,0,5,1,3,4,3,3,2,3,1,5,6,4,0,0,0,0
38,7,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,2
39,0,1,4,1,0,0,4,0,0,0,3,1,0,1,0,0,0
40,3,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1
41,0,1,0,0,1,3,1,1,0,0,2,2,1,0,0,0,0
42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
