Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9
1,5,6,6,6,6,4,6,6,7,4
2,17,18,18,20,17,17,19,17,17,20
3,58,62,57,63,61,48,58,62,60,65
4,86,124,122,125,121,91,135,115,129,120
5,124,253,271,262,281,131,256,259,278,290
6,271,598,576,565,603,276,601,617,558,550
7,618,1170,1093,1167,1152,601,1205,1179,1126,1182
8,981,1707,1679,1653,1766,920,1820,1712,1787,1765
9,1365,2513,2509,2411,2524,1295,2456,2460,2594,2527
10,1615,3109,3203,3121,3142,1605,3197,3227,3231,3319
11,2377,4284,4370,4369,4381,2277,4550,4470,4539,4451
12,3093,5464,5398,5446,5378,2928,5736,5603,5596,5598
13,3556,6073,6128,6060,5871,3265,6153,6275,6126,6225
14,3855,6650,6632,6756,6477,3713,6716,6855,6766,6786
15,4281,6952,6915,7086,6595,3991,7143,7172,7167,7324
16,4693,7293,7245,7267,6703,4402,7180,7323,7309,7487
17,4798,7084,7020,7037,6772,4580,7223,7138,7197,7157
18,4864,6766,6849,6715,6529,4718,6811,6818,6842,6672
19,4875,6342,6382,6384,6098,4791,6460,6317,6187,6304
20,4788,5788,5790,5794,5585,4601,5854,5833,5838,5732
21,4643,5030,4994,4843,4839,4501,4954,4955,4850,4965
22,4490,4122,4199,4090,4232,4359,4139,4038,4049,4151
23,4142,3627,3600,3669,3631,4130,3438,3452,3639,3469
24,3886,3096,3079,3135,3111,3818,3033,3030,3009,2931
25,3700,2495,2569,2561,2757,3711,2462,2495,2538,2375
26,3368,1995,1983,2023,2158,3550,1898,1845,1834,1930
27,3130,1548,1480,1572,1697,3274,1400,1454,1398,1436
28,2836,1270,1284,1262,1473,2918,1132,1173,1224,1138
29,2627,1018,1030,1035,1205,2647,919,936,963,919
30,2412,845,829,838,982,2536,749,743,723,741
31,2063,626,622,613,766,2173,545,580,591,521
32,1858,463,418,454,565,1957,410,398,432,408
33,1679,386,381,354,521,1836,331,349,287,334
34,1626,261,293,308,441,1665,233,262,271,281
35,1391,244,257,224,303,1551,198,183,208,193
36,1209,168,153,168,258,1326,123,156,151,145
37,1037,126,132,118,208,1130,96,117,118,111
38,907,101,97,120,172,987,67,83,98,73
39,839,72,87,77,158,931,80,69,73,81
40,814,64,65,52,121,908,61,68,49,53
41,664,54,52,41,75,758,41,39,32,35
42,547,35,26,26,62,646,26,28,30,41
43,496,23,32,29,44,584,17,17,16,27
44,421,21,14,17,34,515,16,16,17,15
45,427,19,15,12,36,459,9,18,13,7
46,338,9,8,10,18,352,12,7,7,12
47,274,4,6,10,14,341,5,7,3,7
48,233,8,11,6,14,282,6,8,6,4
49,226,3,5,4,10,263,8,6,6,1
50,195,4,5,3,6,218,2,4,4,5
51,160,2,3,3,1,191,2,1,3,6
52,136,2,0,2,5,152,0,0,0,2
53,113,1,1,3,2,135,1,2,0,0
54,106,0,2,2,3,131,2,1,3,1
55,89,2,1,4,4,85,2,0,0,1
56,78,0,2,1,3,96,2,0,1,1
57,71,0,0,0,2,77,1,0,0,1
58,61,0,1,2,0,72,0,1,0,0
59,53,0,0,1,1,71,0,1,0,0
60,43,0,0,0,0,50,0,0,0,0
61,38,0,0,0,2,42,0,0,0,0
62,35,0,0,0,1,49,1,0,0,0
63,23,0,1,0,1,30,0,0,0,0
64,29,0,0,0,0,36,0,0,0,0
65,27,0,0,1,1,29,0,0,0,0
66,23,0,0,0,1,27,0,0,0,0
67,11,0,0,0,0,17,0,0,0,0
68,17,0,0,0,0,16,0,0,0,0
69,8,0,0,0,0,18,0,0,0,1
70,14,0,0,0,0,3,0,0,0,0
71,8,0,0,0,0,16,0,0,0,0
72,11,0,0,0,0,10,0,0,0,0
73,7,0,0,0,0,8,0,0,0,0
74,6,0,0,0,0,9,0,0,0,0
75,6,0,0,0,0,7,0,0,0,0
76,5,0,0,0,0,4,0,0,0,0
77,2,0,0,0,0,5,0,0,0,0
78,5,0,0,0,0,4,0,0,0,0
79,1,0,0,0,0,4,0,0,0,0
80,2,0,0,0,0,4,0,0,0,0
81,2,0,0,0,0,1,0,0,0,0
82,3,0,0,0,0,2,0,0,0,0
83,2,0,0,0,0,2,0,0,0,0
84,1,0,0,0,0,2,0,0,0,0
85,1,0,0,0,0,1,0,0,0,0
86,0,0,0,0,0,2,0,0,0,0
87,1,0,0,0,0,3,0,0,0,0
89,0,0,0,0,0,1,0,0,0,0
90,1,0,0,0,0,3,0,0,0,0
91,0,0,0,0,0,2,0,0,0,0
92,0,0,0,0,0,1,0,0,0,0
93,0,0,0,0,0,1,0,0,0,0
94,2,0,0,0,0,0,0,0,0,0
95,1,0,0,0,0,1,0,0,0,0
