Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16
1,17243,17166,17262,17245,17245,17235,17237,17189,17217,17215,17179,17232,17288,17225,17267,17211,17208
2,74114,74177,74187,74152,74193,74224,74164,74195,74061,74166,74164,74232,74186,74189,74199,74301,74225
3,11037,13029,11141,10681,10607,9884,9943,9517,10401,10350,9958,9905,9724,9587,5980,6441,4962
4,110051,95830,98813,94269,91484,92548,88937,84631,88675,88808,85511,89446,94813,105861,130228,128805,143134
5,242485,230238,233039,237378,235890,237839,235689,234346,232746,233232,235170,235683,239028,238058,246783,245770,246845
6,40206,40673,33603,28533,27773,25488,24646,24098,26686,26370,24386,24599,25372,28204,22660,24446,21021
7,145219,129606,133461,127195,127173,126394,124895,123958,128992,128911,124538,124541,127679,139501,172970,168863,188498
8,203105,205232,208561,221476,220013,223799,224544,225731,216947,216539,225370,224348,223059,208560,191681,194041,177798
9,23436,26464,22754,18061,18373,16131,16223,16564,19270,19543,16624,16083,15623,18648,14190,14857,13131
10,41579,54665,57602,56155,58985,58340,60813,63042,65279,64719,62771,60624,57454,58573,58177,55038,51519
11,67131,75317,74382,80836,81571,83089,84951,86378,79106,78997,84432,84910,82475,71340,49663,52566,45848
12,5459,7288,5880,4602,4782,4082,4296,4718,5859,5778,4816,4393,3611,4550,2530,2848,3073
13,4873,11325,11750,11504,12860,12411,13683,14749,15214,15622,14788,13841,11674,10945,7113,6936,4931
14,11672,14569,13493,14400,15003,14784,15620,16007,14391,14564,15596,15770,14692,11839,5581,6724,6565
15,663,1036,777,556,703,526,571,711,1013,969,721,622,436,522,188,234,284
16,316,1390,1482,1278,1521,1417,1771,1943,2084,2136,1934,1794,1261,1141,430,418,287
17,1259,1647,1457,1423,1539,1540,1705,1805,1643,1617,1634,1655,1429,1070,321,465,604
18,43,87,101,54,70,47,45,78,91,90,74,50,22,40,6,10,17
19,23,116,126,104,110,111,142,181,167,209,163,130,88,72,18,12,11
20,82,122,112,84,87,98,105,129,130,142,146,126,77,62,14,13,34
21,1,6,9,5,8,3,3,8,5,10,5,4,2,1,0,0,2
22,1,8,2,7,4,6,8,16,17,9,13,7,2,9,0,1,1
23,2,8,6,2,6,4,8,5,6,2,6,5,3,3,1,0,1
24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
25,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
26,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
