Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9
3,0,1,0,0,0,0,0,0,1,0
5,0,0,1,1,0,0,0,1,0,0
6,0,1,0,0,1,0,1,0,0,0
7,0,0,0,0,0,1,1,1,0,1
8,0,4,4,2,5,2,1,3,0,2
9,0,1,0,5,2,2,2,0,4,3
10,0,4,6,6,3,2,7,6,4,10
11,0,7,4,5,3,7,7,7,9,10
12,0,9,13,15,9,10,10,10,7,9
13,0,16,13,14,18,18,9,12,15,13
14,0,18,19,21,16,20,24,17,24,18
15,2,17,15,15,21,12,25,29,24,22
16,0,29,26,33,29,34,24,28,36,27
17,1,31,39,41,25,42,40,27,35,32
18,1,39,32,40,34,32,28,31,42,46
19,0,44,55,44,49,43,30,43,43,42
20,1,54,52,34,52,47,49,56,47,44
21,2,56,46,48,38,40,56,49,50,52
22,3,59,57,50,59,62,53,34,49,43
23,2,52,64,49,66,66,62,63,65,54
24,2,42,47,49,43,49,56,57,55,59
25,1,54,55,40,51,47,70,47,43,45
26,3,41,46,44,40,60,47,53,53,54
27,0,42,42,42,50,44,36,46,28,50
28,3,49,40,46,52,40,36,43,37,31
29,3,55,38,36,36,33,36,42,46,41
30,1,32,36,38,42,32,41,32,32,35
31,2,25,36,39,38,31,37,33,45,29
32,1,33,24,33,27,29,26,36,36,26
33,0,23,18,30,21,28,20,17,24,31
34,0,15,18,21,25,16,24,18,21,18
35,3,20,22,26,18,23,20,25,23,24
36,4,17,18,15,15,18,12,18,14,23
37,0,20,12,13,15,10,14,16,9,11
38,3,7,15,12,10,9,9,14,7,21
39,0,12,9,14,13,12,5,12,7,11
40,1,11,10,7,5,8,10,7,8,10
41,2,7,7,16,8,7,9,7,4,8
42,2,5,1,4,8,6,9,6,2,5
43,2,2,9,7,7,13,5,7,6,5
44,0,7,8,5,3,6,6,5,3,1
45,4,5,6,6,5,5,5,6,4,4
46,2,6,5,3,6,3,3,2,2,4
47,3,3,1,4,3,3,4,3,2,3
48,2,2,4,6,1,1,2,5,4,1
49,2,1,1,2,3,5,4,2,3,4
50,1,0,1,1,2,1,1,2,5,1
51,0,3,4,2,2,3,1,2,2,2
52,1,1,5,1,1,1,4,4,1,1
53,3,2,3,3,4,3,2,1,2,3
54,2,2,1,1,2,0,1,1,0,1
55,2,2,0,2,1,1,1,0,2,1
56,0,0,1,1,0,2,1,2,1,1
57,2,0,0,1,2,1,1,3,1,1
58,1,3,1,0,0,1,1,0,1,0
59,1,1,1,1,2,2,2,0,2,2
60,1,0,0,0,0,1,3,1,1,0
61,0,1,1,1,2,0,1,5,1,0
62,3,0,0,1,1,0,0,0,0,1
63,2,0,0,0,1,0,1,0,2,1
64,1,0,2,0,0,0,0,0,1,0
65,0,0,1,0,1,1,1,0,2,0
66,1,0,1,1,1,0,0,0,0,0
67,2,1,0,0,0,0,0,0,1,0
68,0,0,0,0,0,0,2,1,0,0
69,2,0,0,0,2,1,0,0,0,1
70,1,0,0,0,0,0,0,0,0,0
71,4,0,0,0,0,0,0,0,1,0
72,2,1,0,2,0,0,2,0,0,0
73,2,0,1,0,0,0,0,0,0,0
74,1,0,0,0,1,1,0,0,0,0
75,2,1,0,0,0,1,0,0,0,0
77,2,1,1,0,0,1,0,0,0,1
79,1,0,1,0,0,0,0,1,1,0
80,2,0,0,0,0,0,0,1,0,0
82,0,1,0,0,0,0,0,0,0,0
84,3,0,0,1,0,0,0,0,0,1
85,3,1,0,0,0,1,0,0,0,0
86,2,0,0,0,0,0,0,0,0,0
87,1,0,0,0,0,0,0,0,0,0
89,1,0,0,0,0,0,0,0,0,0
90,1,0,0,0,0,0,0,0,0,0
91,2,0,0,0,0,0,0,0,0,0
92,1,0,0,0,0,0,0,0,0,0
94,2,0,0,0,0,0,0,0,0,0
95,1,0,0,0,0,0,0,0,0,0
96,1,0,0,0,0,0,0,0,0,0
97,1,0,0,0,0,0,0,0,0,0
98,3,0,0,0,0,0,0,0,0,0
99,4,0,0,0,0,0,0,0,0,0
100,1,0,0,0,0,0,0,0,0,0
102,0,1,0,0,0,0,0,0,0,0
103,2,0,0,0,0,0,0,0,0,0
106,1,0,0,0,0,0,0,0,0,0
108,2,0,0,0,0,0,0,0,0,0
109,0,0,1,0,0,0,0,0,0,0
111,3,0,0,0,0,0,0,0,0,0
112,1,0,0,0,0,0,0,0,0,0
114,1,0,0,0,0,0,0,0,0,0
115,2,0,0,0,0,0,0,0,0,0
116,1,0,0,0,0,0,0,0,0,0
117,2,0,0,0,0,0,0,0,0,0
118,3,0,0,0,0,0,0,0,0,0
119,1,0,0,0,0,0,0,0,0,0
120,2,0,0,0,0,0,0,0,0,0
121,1,0,0,0,0,0,0,0,0,0
122,2,0,0,0,0,0,0,0,0,0
123,1,0,0,0,0,0,0,0,0,0
124,1,0,0,0,0,0,0,0,0,0
128,3,0,0,0,0,0,0,0,0,0
130,3,0,0,0,0,0,0,0,0,0
131,3,0,0,0,0,0,0,0,0,0
132,5,0,0,0,0,0,0,0,0,0
133,2,0,0,0,0,0,0,0,0,0
134,4,0,0,0,0,0,0,0,0,0
136,1,0,0,0,0,0,0,0,0,0
137,2,0,0,0,0,0,0,0,0,0
138,1,0,0,0,0,0,0,0,0,0
139,1,0,0,0,0,0,0,0,0,0
140,2,0,0,0,0,0,0,0,0,0
141,3,0,0,0,0,0,0,0,0,0
142,3,0,0,0,0,0,0,0,0,0
144,2,0,0,0,0,0,0,0,0,0
145,3,0,0,0,0,0,0,0,0,0
146,2,0,0,0,0,0,0,0,0,0
147,1,0,0,0,0,0,0,0,0,0
150,1,0,0,0,0,0,0,0,0,0
152,1,0,0,0,0,0,0,0,0,0
