Steps,Node_0,Node_1,Node_2,Node_3,Node_4
1,106713,114618,114148,110429,94938
2,102122,85444,71779,85897,95386
3,65711,57070,55592,60657,63623
4,53654,47064,46632,50431,56080
5,43302,38780,39302,38953,45884
6,33748,32429,35493,32545,39964
7,23761,25685,28487,25465,28592
8,18828,21344,24073,20839,24098
9,13270,16516,18609,16272,15366
10,10147,13452,15196,13626,12390
11,7324,10415,11071,10093,7469
12,5463,8441,8930,8129,5576
13,4051,6390,6580,6279,3341
14,3156,4956,5462,4972,2570
15,2220,3833,3959,3665,1559
16,1696,3172,3326,2966,1189
17,1242,2294,2403,2065,662
18,959,1894,2043,1737,471
19,662,1322,1465,1220,267
20,508,1158,1216,1034,197
21,390,830,883,675,125
22,285,684,722,514,88
23,197,467,567,410,52
24,135,429,453,282,37
25,107,331,325,209,25
26,74,216,305,152,27
27,65,187,213,108,6
28,56,134,164,107,10
29,30,83,117,60,1
30,33,83,100,52,1
31,25,72,80,27,2
32,16,41,62,31,3
33,8,32,51,25,1
34,17,37,41,19,0
35,3,23,22,14,0
36,5,15,25,12,0
37,2,9,30,5,0
38,7,13,30,3,0
39,1,10,8,5,0
40,2,7,12,7,0
41,0,5,5,1,0
42,1,4,7,2,0
43,0,4,4,2,0
44,3,2,2,1,0
45,0,1,1,1,0
46,1,1,0,0,0
47,0,3,1,0,0
48,0,0,1,0,0
49,0,0,1,0,0
50,0,0,2,1,0
52,0,0,0,1,0
