Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10
1,1,1,1,1,0,1,1,1,1,1,1
2,3,3,3,1,3,3,3,4,2,3,4
3,9,16,11,12,11,8,17,12,19,18,19
4,29,27,35,37,23,31,28,22,37,38,33
5,27,64,63,65,37,67,50,25,57,54,51
6,61,119,117,136,76,120,138,75,133,148,133
7,161,268,285,331,182,300,319,162,307,311,287
8,285,466,472,462,284,518,511,264,476,463,466
9,457,732,779,756,495,789,763,431,770,758,759
10,528,1021,1069,1034,596,1040,1073,536,1011,1064,1010
11,797,1633,1559,1584,955,1578,1628,852,1579,1592,1591
12,1164,2261,2175,2250,1350,2229,2298,1180,2239,2188,2127
13,1562,2672,2832,2638,1818,2820,2836,1526,2735,2705,2734
14,1789,3323,3331,3231,2178,3416,3349,1794,3240,3317,3390
15,2104,3893,3925,3851,2563,4041,3946,2094,3955,3942,3861
16,2589,4456,4414,4631,3131,4738,4801,2566,4660,4590,4744
17,2976,5231,5207,5271,3415,5393,5354,2981,5328,5165,5404
18,3274,5513,5688,5552,3838,5795,5721,3347,5663,5541,5612
19,3415,5609,5665,5814,4096,5885,5970,3537,5837,5817,5909
20,3648,6139,6124,6069,4235,6141,6046,3803,6144,6118,6027
21,3809,6121,6039,6166,4376,6044,5949,4030,6159,6145,5984
22,4064,6070,5884,5858,4469,5854,5785,4143,5893,6149,5978
23,4090,5744,5676,5544,4522,5452,5653,4052,5632,5772,5642
24,3995,5360,5433,5426,4435,5304,5270,4037,5447,5403,5469
25,4038,5068,4967,5018,4456,4895,4862,4188,4954,5010,4932
26,4042,4430,4481,4432,4310,4388,4378,4251,4424,4456,4533
27,4028,3792,3799,3812,3993,3728,3732,3950,3754,3878,3842
28,3716,3375,3381,3320,3859,3199,3298,3784,3397,3360,3332
29,3717,2964,2961,2959,3613,2971,2825,3696,2995,2911,3088
30,3512,2708,2642,2684,3489,2533,2543,3615,2583,2588,2526
31,3314,2108,2114,2106,3011,2024,2085,3349,2053,2046,2009
32,3049,1697,1634,1677,2732,1630,1690,3158,1641,1645,1548
33,2838,1411,1388,1426,2699,1437,1446,2851,1380,1366,1416
34,2720,1165,1168,1203,2290,1220,1153,2775,1148,1070,1249
35,2480,960,1025,973,2115,977,974,2500,950,972,922
36,2327,753,761,747,1939,711,790,2297,760,778,717
37,2018,602,573,605,1673,595,563,2096,529,552,545
38,1911,463,446,512,1617,471,463,1841,465,463,487
39,1719,433,405,397,1398,331,371,1720,377,363,364
40,1711,310,313,329,1302,309,326,1586,303,282,291
41,1405,238,259,243,1100,234,251,1414,252,198,242
42,1233,167,215,195,978,179,159,1125,156,164,169
43,1149,131,157,144,829,164,140,1076,114,136,143
44,1017,108,133,139,763,103,107,951,119,113,103
45,868,100,93,88,683,85,77,826,76,83,74
46,776,72,65,67,555,60,69,704,67,72,59
47,715,42,55,42,508,38,35,636,37,46,40
48,604,40,34,41,445,43,35,530,37,37,33
49,526,25,33,32,375,25,25,504,27,26,25
50,510,22,32,28,298,33,29,464,19,22,23
51,433,26,17,12,251,9,15,376,13,15,10
52,338,10,24,11,224,9,8,330,9,8,12
53,310,12,12,6,201,9,12,288,11,15,7
54,299,6,17,8,184,6,12,227,9,8,10
55,223,4,5,2,158,2,5,207,6,7,5
56,260,3,0,8,117,5,4,177,3,2,2
57,171,2,0,8,115,3,3,124,1,2,3
58,174,3,0,3,113,2,2,146,3,0,1
59,154,3,3,1,74,2,2,114,1,2,0
60,123,0,0,0,86,0,0,99,3,0,1
61,105,2,1,1,61,2,0,85,0,1,0
62,84,1,0,0,34,0,1,66,0,1,1
63,70,0,0,1,32,0,0,63,0,0,0
64,64,0,0,0,44,1,0,43,0,0,0
65,52,1,0,0,33,0,0,41,0,0,0
66,47,0,0,0,24,0,1,40,0,0,0
67,39,0,0,0,15,0,0,25,0,0,0
68,43,0,0,0,24,0,0,35,0,0,0
69,28,1,0,0,15,0,0,19,0,0,0
70,31,0,0,0,21,0,0,22,0,0,1
71,28,0,0,0,10,0,0,19,0,0,0
72,19,0,0,0,6,0,0,13,0,0,0
73,25,0,0,0,8,0,0,8,0,0,0
74,13,0,0,0,7,0,0,14,0,0,0
75,10,0,0,0,7,0,0,7,0,0,0
76,12,0,0,0,2,0,0,7,0,0,0
77,11,0,0,0,1,0,0,5,0,0,0
78,7,0,0,0,1,0,0,4,0,0,0
79,5,0,0,0,2,0,0,2,0,0,0
80,5,0,0,0,4,0,0,6,0,0,0
81,6,0,0,0,0,0,0,5,0,0,0
82,3,0,0,0,2,0,0,2,0,0,0
83,4,0,0,0,1,0,0,4,0,0,0
84,2,0,0,0,1,0,0,3,0,0,0
85,4,0,0,0,1,0,0,6,0,0,0
86,2,0,0,0,0,0,0,4,0,0,0
87,3,0,0,0,1,0,0,1,0,0,0
88,1,0,0,0,1,0,0,0,0,0,0
89,3,0,0,0,0,0,0,1,0,0,0
90,2,0,0,0,0,0,0,0,0,0,0
91,1,0,0,0,0,0,0,0,0,0,0
92,1,0,0,0,0,0,0,0,0,0,0
94,1,0,0,0,0,0,0,1,0,0,0
98,1,0,0,0,1,0,0,0,0,0,0
100,1,0,0,0,0,0,0,0,0,0,0
105,1,0,0,0,0,0,0,0,0,0,0
114,1,0,0,0,0,0,0,0,0,0,0
