Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29
1,366,355,373,362,368,369,367,374,369,359,361,356,362,374,364,357,374,357,363,362,352,377,369,368,358,378,364,363,364,360
2,1591,1622,1578,1611,1606,1600,1564,1595,1589,1600,1607,1625,1629,1579,1579,1601,1584,1576,1628,1570,1626,1584,1603,1597,1585,1611,1607,1581,1608,1597
3,4437,4425,4458,4458,4458,4425,4433,4436,4460,4501,4539,4445,4471,4428,4459,4438,4466,4514,4415,4449,4424,4470,4509,4415,4523,4413,4453,4479,4422,4461
4,9056,9094,9001,8973,8975,8968,8990,8922,9026,8973,9011,9022,8916,9025,8981,8962,9016,8951,9129,9084,8960,8981,9021,9040,8909,9067,8972,9070,9080,8947
5,13810,13749,13829,13818,13843,13772,13994,13859,13728,13789,13667,13894,13935,13831,14013,13963,13819,13798,13716,13867,13861,13760,13787,13854,13870,13765,13892,13845,13898,13807
6,16670,16882,16796,16958,16823,16903,16763,16754,16921,16736,16879,16922,16849,16734,16664,16743,16811,16897,16747,16643,16833,16910,16626,16730,16846,16800,16661,16885,16677,16887
7,16909,16794,16907,16807,16763,17102,16914,16898,16845,16951,16913,16673,16807,16934,16873,16921,16921,16919,17000,16909,16859,16727,16915,16991,16665,16762,16945,16699,16935,16925
8,14294,14256,14217,14208,14354,14232,14152,14382,14264,14276,14225,14247,14136,14413,14131,14143,14187,14159,14097,14262,14231,14295,14297,14096,14474,14297,14216,14209,14299,14275
9,10235,10338,10394,10183,10264,10122,10318,10192,10252,10319,10174,10213,10394,10151,10397,10310,10281,10276,10410,10234,10331,10336,10313,10439,10227,10402,10375,10252,10188,10175
10,6471,6387,6403,6551,6375,6416,6294,6412,6429,6448,6544,6462,6331,6423,6388,6406,6335,6390,6406,6455,6393,6399,6386,6294,6483,6442,6475,6501,6359,6318
11,372,184,243,103,155,252,109,119,171,120,110,102,88,114,117,116,201,104,88,126,79,116,105,117,123,115,120,120,107,103
12,2098,1635,1805,1499,1546,1833,1450,1426,1593,1328,1951,2034,2319,1556,1664,1757,1650,1374,2645,1418,2580,1716,1884,1996,1464,1578,1735,1615,1646,1960
13,1704,1990,1788,2387,2177,1852,2440,2317,2055,2230,2334,2220,2154,2341,2354,2307,2009,2536,1939,2478,2030,2423,2453,2313,2398,2526,2375,2413,2436,2389
14,1029,1247,1164,1293,1351,1150,1379,1436,1284,1403,1057,1108,1031,1295,1275,1253,1324,1339,931,1352,955,1241,1055,1088,1253,1154,1121,1246,1266,1143
15,525,645,599,515,623,586,549,583,649,638,418,464,391,543,503,474,626,555,331,512,318,436,447,461,542,480,465,485,471,400
16,251,259,285,197,227,269,211,209,252,239,150,155,142,176,163,180,267,182,117,203,112,162,168,147,209,145,163,164,156,180
17,116,87,113,62,68,105,47,61,77,68,40,47,31,57,55,50,92,50,31,62,39,47,50,39,52,50,45,55,62,56
18,49,38,31,13,17,28,23,20,25,15,17,7,11,20,17,16,29,17,6,11,9,16,10,12,18,10,12,13,24,13
19,9,10,7,1,4,12,2,5,9,6,3,3,0,5,2,3,6,3,1,1,8,4,1,3,1,5,3,3,2,3
20,6,3,6,1,2,3,1,0,1,1,0,0,3,0,1,0,2,0,0,2,0,0,1,0,0,0,1,1,0,0
21,2,0,3,0,1,1,0,0,1,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1
