Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9
1,1,1,1,1,1,1,1,1,1,1
2,15,17,18,14,19,16,16,19,22,16
3,59,64,55,57,64,55,65,64,62,64
4,130,201,185,207,194,212,188,193,183,196
5,150,422,394,360,364,387,401,358,392,420
6,336,949,962,918,964,938,946,985,966,926
7,736,1875,1900,1860,1871,1851,1947,1855,1880,1850
8,1185,3023,3086,3079,3032,3045,2948,3114,3098,3071
9,1596,4140,4248,4337,4143,4142,4092,4222,4210,4151
10,1963,5619,5682,5541,5748,5760,5785,5759,5614,5654
11,2638,7503,7287,7293,7627,7484,7371,7435,7458,7418
12,3414,9075,8868,8960,8920,8818,8892,8897,9084,8953
13,3771,9203,9272,9353,9093,9402,9211,9327,9273,9258
14,4010,9341,9362,9439,9428,9498,9499,9410,9270,9445
15,4049,9149,9101,9155,8960,9064,9098,9102,8961,9167
16,4381,8140,8203,8132,8175,8160,8221,8198,8157,8117
17,4158,6765,6687,6653,6839,6665,6881,6700,6734,6656
18,4045,5524,5583,5596,5584,5588,5659,5428,5622,5775
19,3891,4606,4598,4522,4550,4558,4621,4465,4582,4657
20,3815,3601,3582,3569,3555,3569,3489,3578,3522,3495
21,3736,2459,2565,2621,2532,2598,2562,2633,2595,2541
22,3368,1806,1844,1779,1801,1815,1839,1832,1798,1800
23,3281,1424,1437,1409,1473,1381,1376,1478,1455,1419
24,3057,1157,1044,1159,1099,1092,1050,1120,1086,1086
25,2952,862,899,872,903,865,881,823,862,858
26,2748,657,645,668,668,627,597,609,627,617
27,2586,502,480,482,510,493,481,478,484,470
28,2427,406,417,429,370,386,411,370,414,371
29,2260,307,354,302,329,325,299,303,308,329
30,2166,245,252,278,235,263,256,267,281,247
31,1976,191,206,176,199,199,207,194,191,212
32,1721,145,173,154,138,140,129,138,140,159
33,1552,123,119,152,145,148,100,141,154,128
34,1585,105,99,85,88,90,100,91,111,103
35,1616,75,78,91,76,75,80,87,80,76
36,1372,71,55,79,67,52,60,66,68,65
37,1218,58,52,47,58,47,60,55,50,53
38,1156,41,52,38,33,38,29,45,52,35
39,1109,33,29,29,24,23,30,42,34,28
40,1095,25,40,26,33,38,32,28,29,20
41,919,23,18,14,22,25,16,23,11,18
42,904,16,11,10,15,14,17,15,15,14
43,751,12,11,8,13,10,8,11,18,21
44,774,6,9,9,5,12,12,10,11,9
45,718,5,6,7,4,6,17,6,10,6
46,626,10,5,5,6,6,3,7,6,4
47,609,3,6,5,4,0,3,5,3,5
48,574,4,8,6,7,4,7,2,5,3
49,453,0,4,3,3,1,2,1,0,3
50,506,2,2,4,1,3,2,3,4,2
51,454,4,3,1,1,3,1,1,1,0
52,380,1,0,1,1,2,1,2,0,2
53,406,0,0,1,0,2,1,1,1,1
54,364,0,0,0,0,1,0,0,2,1
55,298,1,1,1,1,0,0,0,2,0
56,302,0,1,0,1,1,0,1,1,1
57,264,0,0,0,1,1,0,1,0,1
58,260,1,0,1,0,0,0,1,0,0
59,229,1,0,0,1,1,0,0,0,1
60,209,0,0,2,0,0,0,0,0,0
61,179,0,0,0,1,0,0,0,0,0
62,189,0,0,0,1,0,0,0,0,0
63,166,1,0,0,0,0,0,0,0,0
64,166,0,0,0,0,0,0,0,0,1
65,160,0,0,0,0,0,0,0,0,0
66,131,0,0,0,0,0,0,0,0,0
