Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9
67,122,0,0,0,0,0,0,0,0,0
68,122,0,0,0,0,0,0,0,0,0
69,104,0,1,0,0,0,0,0,0,0
70,100,0,0,0,0,0,0,0,0,0
71,108,0,0,0,0,0,0,0,0,0
72,81,0,0,0,0,0,0,0,0,0
73,71,0,0,0,0,0,0,0,0,0
74,76,0,0,0,0,0,0,0,0,0
75,65,0,0,0,0,0,0,0,0,0
76,67,0,0,0,0,0,0,0,0,0
77,59,0,0,0,0,0,0,0,0,0
78,54,0,0,0,0,0,0,0,0,0
79,49,0,0,0,0,0,0,0,0,0
80,45,0,0,0,0,0,0,0,0,0
81,52,0,0,0,0,0,0,0,0,0
82,34,0,0,0,0,0,0,0,0,0
83,42,0,0,0,0,0,0,0,0,0
84,32,0,0,0,0,0,0,0,0,0
85,33,0,0,0,0,0,0,0,0,0
86,33,0,0,0,0,0,0,0,0,0
87,25,0,0,0,0,0,0,0,0,0
88,30,0,0,0,0,0,0,0,0,0
89,17,0,0,0,0,0,0,0,0,0
90,25,0,0,0,0,0,0,0,0,0
91,16,0,0,0,0,0,0,0,0,0
92,20,0,0,0,0,0,0,0,0,0
93,17,0,0,0,0,0,0,0,0,0
94,15,0,0,0,0,0,0,0,0,0
95,14,0,0,0,0,0,0,0,0,0
96,9,0,0,0,0,0,0,0,0,0
97,7,0,0,0,0,0,0,0,0,0
98,7,0,0,0,0,0,0,0,0,0
99,18,0,0,0,0,0,0,0,0,0
100,11,0,0,0,0,0,0,0,0,0
101,3,0,0,0,0,0,0,0,0,0
102,5,0,0,0,0,0,0,0,0,0
103,5,0,0,0,0,0,0,0,0,0
104,2,0,0,0,0,0,0,0,0,0
105,9,0,0,0,0,0,0,0,0,0
106,5,0,0,0,0,0,0,0,0,0
107,3,0,0,0,0,0,0,0,0,0
108,5,0,0,0,0,0,0,0,0,0
109,4,0,0,0,0,0,0,0,0,0
110,8,0,0,0,0,0,0,0,0,0
111,4,0,0,0,0,0,0,0,0,0
112,4,0,0,0,0,0,0,0,0,0
113,3,0,0,0,0,0,0,0,0,0
114,3,0,0,0,0,0,0,0,0,0
115,5,0,0,0,0,0,0,0,0,0
116,3,0,0,0,0,0,0,0,0,0
117,1,0,0,0,0,0,0,0,0,0
118,4,0,0,0,0,0,0,0,0,0
119,5,0,0,0,0,0,0,0,0,0
120,4,0,0,0,0,0,0,0,0,0
121,2,0,0,0,0,0,0,0,0,0
122,3,0,0,0,0,0,0,0,0,0
123,1,0,0,0,0,0,0,0,0,0
124,1,0,0,0,0,0,0,0,0,0
127,2,0,0,0,0,0,0,0,0,0
131,1,0,0,0,0,0,0,0,0,0
133,1,0,0,0,0,0,0,0,0,0
134,1,0,0,0,0,0,0,0,0,0
135,1,0,0,0,0,0,0,0,0,0
144,2,0,0,0,0,0,0,0,0,0
145,2,0,0,0,0,0,0,0,0,0
148,1,0,0,0,0,0,0,0,0,0
150,1,0,0,0,0,0,0,0,0,0
152,1,0,0,0,0,0,0,0,0,0
