Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9
1,34319,21818,21729,21769,26685,31943,20571,20680,20797,20891
2,20422,20066,20271,20217,16635,23289,20515,20150,20323,20299
3,11093,13305,13061,13199,12008,12886,14213,14044,13905,13995
4,9369,13684,13704,13636,12263,11182,14371,14573,14515,14537
5,6381,8996,8969,8938,8407,6527,8513,8626,8599,8468
6,5684,8005,8039,8234,7633,5556,8213,8362,8368,8282
7,3672,4363,4441,4426,4653,3071,4089,4024,3976,3962
8,3135,3954,3978,3889,3954,2495,3730,3706,3640,3741
9,1931,1988,1996,1925,2400,1184,1911,1889,1953,1905
10,1562,1638,1629,1673,2025,893,1573,1607,1606,1615
11,843,818,808,780,1091,416,858,813,820,840
12,667,595,621,579,856,304,600,657,695,637
13,322,300,305,305,461,98,349,340,317,328
14,264,222,199,193,366,86,223,236,220,203
15,119,117,100,84,204,26,116,116,119,124
16,91,54,64,68,145,23,66,95,64,70
17,50,40,33,44,82,13,31,36,32,49
18,39,18,23,24,45,5,30,18,15,29
19,13,9,13,6,33,1,14,12,13,9
20,10,3,9,8,23,0,8,3,12,5
21,9,3,1,1,7,1,1,7,4,6
22,2,0,3,1,4,1,4,2,5,2
23,2,0,2,1,10,0,1,2,1,2
24,0,2,2,0,4,0,0,0,0,1
25,0,0,0,0,3,0,0,1,1,0
26,0,0,0,0,0,0,0,1,0,0
27,1,1,0,0,2,0,0,0,0,0
28,0,1,0,0,0,0,0,0,0,0
32,0,0,0,0,1,0,0,0,0,0
