Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9
1,199961,200222,200045,199840,199700,199487,199730,199684,199993,200048
2,152378,152146,152400,152843,152654,152763,152588,152490,152306,152096
3,89330,89449,89287,88944,89777,89667,89424,89378,89466,89505
4,39139,39324,39226,39520,39035,39385,39331,39407,39244,39286
5,4107,1318,1315,1287,1181,7290,1654,1681,1630,1668
6,6762,8275,8471,8324,6256,5853,7152,7155,7205,7365
7,4799,6916,6962,6925,8808,2827,7699,7746,7753,7629
8,2269,1984,1954,1942,2188,1446,2027,2038,1997,2008
9,941,339,303,352,373,855,372,376,380,371
10,136,3,11,5,5,210,4,11,4,5
11,93,12,12,10,11,109,7,16,9,9
12,51,12,14,7,11,47,12,18,13,10
13,29,0,0,1,1,40,0,0,0,0
14,5,0,0,0,0,15,0,0,0,0
15,0,0,0,0,0,5,0,0,0,0
17,0,0,0,0,0,1,0,0,0,0
