Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9
1,200282,200412,200206,199999,199996,199998,199915,200124,200461,200047
2,152217,152216,152346,152240,152371,151924,152497,152361,151933,152377
3,89520,89298,89268,89462,89614,89843,89547,89416,89379,89584
4,39293,39219,39426,39491,39382,39331,39389,39366,39338,39335
5,13686,13805,13686,13751,13675,13953,13546,13672,13840,13717
6,4094,4130,4092,4106,4006,4025,4182,4086,4084,3974
7,220,99,90,92,100,359,91,108,118,90
8,351,402,424,412,341,305,356,368,374,387
9,186,386,429,415,461,128,446,461,442,440
10,97,33,33,32,53,72,29,37,31,49
11,37,0,0,0,1,35,2,1,0,0
12,14,0,0,0,0,20,0,0,0,0
13,3,0,0,0,0,7,0,0,0,0
