Steps,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9
1,400686,400729,400660,400802,400514,400540,400582,401153,400404,400862
2,304595,304262,305045,304834,304337,305701,305395,304812,305304,304802
3,178592,179072,178668,178587,179356,177983,178087,178293,178400,178316
4,78729,78571,78163,78525,78276,78449,78427,77943,78535,78706
5,7930,2626,2712,2607,2430,14579,3325,3290,3303,3279
6,13245,16509,16540,16407,12387,11678,14434,14489,14286,14257
7,9249,13743,13655,13777,17574,5455,15012,15248,15106,15070
8,4544,3755,3848,3755,4364,2919,3980,4002,3911,3992
9,1832,661,650,649,705,1811,689,719,691,647
10,266,13,15,4,16,438,15,8,9,14
11,162,29,22,26,21,250,25,18,28,17
12,108,30,22,25,19,93,28,25,21,38
13,46,0,0,2,1,64,1,0,2,0
14,14,0,0,0,0,30,0,0,0,0
15,0,0,0,0,0,5,0,0,0,0
16,1,0,0,0,0,3,0,0,0,0
17,1,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,1,0,0,0,0
19,0,0,0,0,0,1,0,0,0,0
