Rank,Count (Max),Count (Avg)
0,129,129
1,6,6
2,6,6
3,12,21
4,12,30
5,15,33
6,24,27
7,27,54
8,24,51
9,33,30
10,45,45
11,42,90
12,39,75
13,48,60
14,60,78
15,60,102
16,63,96
17,69,123
18,93,150
19,99,156
20,99,174
21,102,165
22,135,183
23,147,231
24,141,249
25,165,261
26,198,312
27,204,333
28,204,363
29,240,408
30,279,468
31,303,492
32,324,471
33,354,516
34,393,555
35,423,510
36,429,534
37,432,615
38,444,630
39,468,657
40,477,711
41,483,756
42,504,897
43,519,945
44,576,978
45,579,1119
46,621,1062
47,687,1101
48,771,1116
49,732,1299
50,792,1269
51,879,1284
52,948,1317
53,885,1458
54,942,1380
55,981,1437
56,999,1572
57,936,1458
58,1005,1587
59,1047,1644
60,1110,1719
61,1104,1761
62,1203,1896
63,1224,1893
64,1266,2061
65,1233,2217
66,1260,2205
67,1272,2409
68,1296,2514
69,1305,2682
70,1368,2898
71,1350,3063
72,1482,3426
73,1548,3786
74,1581,4071
75,1530,4401
76,1665,4692
77,1770,4860
78,1746,5448
79,1797,5697
80,1926,6222
81,2010,6357
82,1953,6606
83,1992,6969
84,2106,6843
85,2097,6726
86,2115,6588
87,2211,6375
88,2361,6165
89,2454,5946
90,2583,5835
91,2748,5556
92,2922,5772
93,3063,5418
94,3216,5256
95,3369,5295
96,3438,5022
97,3510,5451
98,3513,5583
99,3612,5631
100,3768,5685
101,3975,5430
102,4119,5547
103,4266,5553
104,4359,6156
105,4575,6432
106,4872,6801
107,5109,7077
108,5166,7677
109,5160,8064
110,5211,8562
111,5286,8712
112,5298,9048
113,5358,9534
114,5466,10122
115,5430,10488
116,5304,10554
117,5154,10359
118,5106,9933
119,5199,9819
120,5154,9279
121,5136,8925
122,5229,8031
123,5409,7551
124,5346,6954
125,5364,6771
126,5463,6483
127,5676,6099
128,5667,5661
129,5676,5364
130,5604,5220
131,5583,5109
132,5589,4923
133,5631,4821
134,5616,4506
135,5748,4524
136,5880,4428
137,5907,4170
138,5844,4182
139,5976,3996
140,6168,3978
141,6477,3672
142,6645,3378
143,6648,3264
144,6459,2778
145,6447,2484
146,6498,2415
147,6609,2085
148,6714,1821
149,6846,1704
150,6858,1374
151,6963,1059
152,6954,873
153,6873,780
154,6723,735
155,6699,567
156,6696,597
157,6609,525
158,6549,471
159,6387,459
160,6138,252
161,5883,105
162,5682,87
163,5361,72
164,5058,63
165,4848,33
166,4623,51
167,4401,15
168,4179,0
169,3996,0
170,3735,0
171,3390,0
172,3039,0
173,2721,0
174,2442,0
175,2202,0
176,1911,0
177,1638,0
178,1386,0
179,1137,0
180,990,0
181,921,0
182,906,0
183,864,0
184,819,0
185,801,0
186,786,0
187,786,0
188,723,0
189,648,0
190,582,0
191,555,0
192,516,0
193,438,0
194,384,0
195,339,0
196,291,0
197,234,0
198,165,0
199,108,0
200,60,0
201,36,0
202,33,0
203,27,0
204,30,0
205,18,0
206,12,0
207,6,0
208,6,0
209,6,0
210,6,0
211,6,0
212,6,0
