Rank,Count (Max),Count (Avg)
0,81,81
1,6,6
2,6,6
3,12,21
4,12,27
5,15,27
6,21,21
7,21,45
8,15,42
9,21,21
10,33,33
11,30,78
12,27,60
13,36,42
14,45,60
15,45,102
16,48,93
17,57,108
18,75,90
19,87,84
20,84,84
21,63,57
22,60,75
23,72,117
24,72,90
25,63,99
26,75,138
27,81,105
28,75,96
29,72,135
30,87,141
31,90,129
32,102,132
33,78,150
34,84,177
35,96,210
36,132,219
37,117,270
38,75,240
39,72,267
40,96,222
41,108,201
42,117,168
43,138,144
44,165,123
45,165,102
46,156,138
47,162,117
48,162,102
49,165,99
50,177,108
51,186,126
52,183,105
53,180,105
54,159,93
55,147,156
56,123,108
57,126,120
58,120,75
59,114,84
60,102,48
61,75,30
62,54,6
63,57,3
64,63,0
65,75,0
66,81,0
67,87,0
68,96,0
69,111,0
70,120,0
71,99,0
72,72,0
73,57,0
74,48,0
75,39,0
76,18,0
77,9,0
78,3,0
79,3,0
