node,-4,-3,-2,-1,0,1,2,3,4
0,8,24,44,24,120,24,44,24,8
1,0,0,0,16,48,16,0,0,0
2,0,0,0,16,48,16,0,0,0
3,0,0,0,16,48,16,0,0,0
4,0,0,0,16,48,16,0,0,0
