node,-4,-3,-2,-1,0,1,2,3,4
0,0,1272,5288,8640,12800,8640,5288,1272,0
1,0,0,0,7196,7208,7196,0,0,0
2,0,0,0,2158,6484,2158,0,0,0
3,0,0,0,7196,7208,7196,0,0,0
4,0,0,860,5188,9504,5188,860,0,0
5,712,2708,5220,5940,14040,5940,5220,2708,712
6,0,0,0,2158,6484,2158,0,0,0
7,0,0,0,2158,6484,2158,0,0,0
8,0,0,0,2158,6484,2158,0,0,0
