node,-5,-4,-3,-2,-1,0,1,2,3,4,5
0,0,0,0,3456,13440,19968,13440,3456,0,0,0
1,0,0,0,0,4480,8960,4480,0,0,0,0
2,0,0,2112,6528,15808,22784,15808,6528,2112,0,0
3,0,0,0,0,3584,10752,3584,0,0,0,0
4,0,0,0,0,3584,10752,3584,0,0,0,0
5,656,3168,7280,8512,15616,37056,15616,8512,7280,3168,656
6,0,0,0,0,2560,12800,2560,0,0,0,0
7,0,0,0,0,2560,12800,2560,0,0,0,0
8,0,0,0,0,2560,12800,2560,0,0,0,0
9,0,0,0,0,2560,12800,2560,0,0,0,0
