node,-4,-3,-2,-1,0,1,2,3,4
0,0,0,38880,1176768,1715904,1176768,38880,0,0
1,0,0,0,633600,1497600,633600,0,0,0
2,0,0,372804,1776528,2613336,1776528,372804,0,0
3,15696,167409,884556,2146743,3247992,2146743,884556,167409,15696
4,0,60480,427020,1741680,2453640,1741680,427020,60480,0
5,0,0,127872,1525824,2222208,1525824,127872,0,0
6,0,20160,333984,1413888,1993536,1413888,333984,20160,0
7,0,0,129600,1068480,1751040,1068480,129600,0,0
8,0,0,0,1137600,1872000,1137600,0,0,0
