Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-69,0,0,0,0,1,0
-68,0,0,0,0,5,0
-67,1,0,0,0,9,0
-66,2,0,0,0,35,0
-65,5,0,0,0,37,0
-64,12,0,0,0,54,0
-63,20,0,0,0,92,0
-62,18,0,0,0,112,0
-61,31,0,0,0,158,0
-60,42,0,0,0,252,0
-59,102,0,0,0,403,0
-58,110,0,0,0,516,0
-57,141,0,0,0,831,0
-56,283,0,0,0,1027,0
-55,323,0,0,0,1246,0
-54,385,0,0,0,1628,0
-53,552,0,0,0,2172,0
-52,660,0,0,0,2541,0
-51,638,0,0,0,3129,0
-50,1171,0,0,0,3916,0
-49,1068,0,0,0,4332,0
-48,1256,0,0,0,5724,0
-47,1857,0,0,0,6658,0
-46,1780,0,0,0,7794,0
-45,2401,0,0,0,9428,2
-44,2874,0,0,0,10381,1
-43,3002,0,0,0,13570,2
-42,4157,0,0,0,14991,4
-41,4224,0,0,0,16293,2
-40,4875,0,0,0,21193,9
-39,6551,0,0,0,23057,24
-38,5945,0,0,0,24023,15
-37,7093,0,0,0,30805,53
-36,9779,0,0,0,32568,60
-35,8044,1,0,0,33975,109
-34,10224,4,0,0,44532,140
-33,14087,2,0,0,45492,169
-32,10419,14,0,0,45172,254
-31,13328,49,0,0,59038,401
-30,18678,77,0,0,59248,646
-29,13505,129,0,0,58316,1080
-28,16802,265,0,0,74471,1736
-27,23658,424,0,0,76910,2758
-26,16612,648,0,0,72941,4257
-25,20728,1058,0,0,92119,6197
-24,29057,1708,0,0,95213,9551
-23,20727,2474,0,0,91878,13533
-22,26849,3557,0,0,114007,18936
-21,32405,5154,0,0,113013,26234
-20,24453,6872,0,0,113239,34632
-19,34771,8893,0,0,134707,44112
-18,33801,11311,0,0,126246,56342
-17,27339,14179,0,0,136875,68959
-16,45988,17107,0,0,159502,84098
-15,35342,20508,0,0,138380,100180
-14,28161,24345,0,0,160438,119098
-13,60002,28295,0,0,189730,140261
-12,33940,33034,0,0,146322,163054
-11,30048,38473,0,0,191081,188620
-10,81177,43877,0,0,230393,217124
-9,33437,50096,0,0,157932,246788
-8,31188,56455,0,0,230358,280918
-7,110558,64593,0,0,288380,320421
-6,32496,74683,0,0,170977,363258
-5,30916,87656,0,0,282503,420103
-4,158707,103428,0,0,381970,487618
-3,28405,125927,0,0,187853,567294
-2,28674,180590,0,0,409304,730166
-1,738972,552453,0,0,1130875,1210216
0,0,182906,420,420,189422,895294
1,0,82940,588,588,1130287,1209628
2,0,46101,375,425,408929,729741
3,0,28724,261,257,187592,567037
4,0,19161,146,157,381824,487461
5,0,13149,125,112,282378,419991
6,0,9184,112,118,170865,363140
7,0,6421,102,96,288278,320325
8,0,4817,94,97,230264,280821
9,0,3468,77,75,157855,246713
10,0,2594,68,73,230325,217051
11,0,1886,70,91,191011,188529
12,0,1392,80,90,146242,162964
13,0,1088,83,98,189647,140163
14,0,761,73,75,160365,119023
15,0,533,67,63,138313,100117
16,0,390,49,65,159453,84033
17,0,278,37,41,136838,68918
18,0,174,39,40,126207,56302
19,0,125,42,31,134665,44081
20,0,108,32,24,113207,34608
21,0,80,27,12,112986,26222
22,0,58,20,11,113987,18925
23,0,49,24,8,91854,13525
24,0,36,18,8,95195,9543
25,0,28,10,2,92109,6195
26,0,26,9,2,72932,4255
27,0,10,8,3,76902,2755
28,0,10,6,3,74465,1733
29,0,5,3,3,58313,1077
30,0,4,1,1,59247,645
31,0,4,0,0,59038,401
32,0,3,1,1,45171,253
33,0,3,1,1,45491,168
34,0,1,3,1,44529,139
35,0,0,3,0,33972,109
36,0,0,6,2,32562,58
37,0,0,4,2,30801,51
38,0,0,1,0,24022,15
39,0,0,0,0,23057,24
40,0,0,0,0,21193,9
41,0,0,4,0,16289,2
42,0,0,3,0,14988,4
43,0,0,3,0,13567,2
44,0,0,1,0,10380,1
45,0,0,0,0,9428,2
46,0,0,0,0,7794,0
47,0,0,0,0,6658,0
48,0,0,0,0,5724,0
49,0,0,0,0,4332,0
50,0,0,0,0,3916,0
51,0,0,0,0,3129,0
52,0,0,0,0,2541,0
53,0,0,0,0,2172,0
54,0,0,0,0,1628,0
55,0,0,0,0,1246,0
56,0,0,0,0,1027,0
57,0,0,0,0,831,0
58,0,0,0,0,516,0
59,0,0,0,0,403,0
60,0,0,0,0,252,0
61,0,0,0,0,158,0
62,0,0,0,0,112,0
63,0,0,0,0,92,0
64,0,0,0,0,54,0
65,0,0,0,0,37,0
66,0,0,0,0,35,0
67,0,0,0,0,9,0
68,0,0,0,0,5,0
69,0,0,0,0,1,0
