Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-90,0,0,0,0,123,0
-87,0,0,0,0,120,0
-86,12,0,0,0,12,0
-84,0,0,0,0,150,0
-83,12,0,0,0,12,18
-82,0,0,0,0,0,6
-81,0,0,0,0,246,51
-80,39,0,0,0,51,36
-79,0,12,0,0,0,33
-78,0,0,0,0,438,27
-77,132,0,0,0,168,69
-76,0,12,0,0,3,48
-75,0,3,0,0,351,60
-74,219,0,0,0,291,48
-73,6,30,0,0,6,153
-72,3,9,0,0,900,126
-71,219,9,0,0,345,87
-70,6,36,0,0,21,147
-69,3,9,0,0,372,144
-68,198,33,0,0,594,141
-67,36,48,0,0,81,153
-66,24,69,0,0,885,234
-65,354,78,0,0,681,252
-64,54,33,0,0,285,192
-63,69,51,0,0,1083,219
-62,528,114,0,0,897,264
-61,78,63,0,0,141,273
-60,138,72,0,0,1695,309
-59,723,63,0,0,1161,324
-58,84,126,0,0,357,372
-57,132,90,0,0,1824,387
-56,852,108,0,0,1809,618
-55,165,162,0,0,648,633
-54,324,162,0,0,2637,744
-53,951,183,0,0,2013,783
-52,84,192,0,0,528,726
-51,363,171,0,0,3153,744
-50,1290,282,0,0,2943,894
-49,129,327,0,0,918,990
-48,585,357,0,0,2589,1296
-47,948,360,0,0,1857,1329
-46,132,381,0,0,2499,1272
-45,978,402,0,0,2940,1464
-44,846,429,0,0,1941,1419
-43,30,435,0,0,1824,1641
-42,2394,357,0,0,4656,1689
-41,732,411,0,0,1620,1770
-40,18,456,0,0,3351,1941
-39,2934,648,0,0,5937,2340
-38,2202,945,0,0,3933,2688
-37,30,972,0,0,3924,2937
-36,4446,951,0,0,12804,3027
-35,666,882,0,0,2724,3087
-34,51,1116,0,0,5037,3828
-33,4737,1527,0,0,7551,4128
-32,1389,1668,0,0,2634,4734
-31,144,1647,0,0,5913,6198
-30,4542,1830,0,0,9033,7791
-29,858,2262,0,0,2502,8073
-28,498,2877,0,0,8655,8535
-27,4845,2907,0,0,9858,7653
-26,900,3474,0,0,2919,8571
-25,933,2850,0,0,8106,8364
-24,4311,2700,0,0,8031,8574
-23,1620,3012,0,0,3855,9750
