Rank,Count (Max),Count (Avg)
0,141,141
1,675,675
2,2055,2085
3,4686,4883
4,8495,9170
5,13024,14690
6,18030,21284
7,22682,28084
8,26647,34646
9,29965,40994
10,32194,46222
11,33778,50937
12,34580,54708
13,34822,58336
14,34531,62158
15,34048,65456
16,33385,68947
17,32582,72468
18,31800,75435
19,31049,78493
20,30288,79955
21,30228,81095
22,30036,80098
23,29488,76884
24,29135,73049
25,28787,68619
26,28434,62308
27,28569,55574
28,28631,48224
29,28970,40647
30,29026,33098
31,29021,26725
32,28962,20889
33,28793,16098
34,29133,11975
35,29331,8492
36,29511,6078
37,29717,4237
38,29733,2900
39,29728,2155
40,29825,1684
41,29775,1210
42,29240,903
43,28897,626
44,28330,391
45,27615,249
46,26781,168
47,25973,87
48,24778,48
49,23412,35
50,22488,9
51,21186,1
52,20015,0
53,18973,0
54,17887,0
55,16872,0
56,16025,0
57,14968,0
58,14283,0
59,13524,0
60,12568,0
61,11420,0
62,10372,0
63,9468,0
64,8528,0
65,7597,0
66,6877,0
67,6138,0
68,5314,0
69,4428,0
70,3671,0
71,3097,0
72,2506,0
73,1985,0
74,1532,0
75,1063,0
76,726,0
77,515,0
78,370,0
79,237,0
80,151,0
81,108,0
82,70,0
83,26,0
84,12,0
85,4,0
86,3,0
