Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-20,0,0,0,0,4,0
-19,0,0,0,0,14,0
-18,3,0,0,0,8,0
-17,0,0,0,0,3,0
-16,4,0,0,0,33,0
-15,11,0,0,0,27,4
-14,2,0,0,0,17,7
-13,21,3,0,0,37,11
-12,3,3,0,0,13,22
-11,11,7,0,0,66,23
-10,19,13,0,0,44,31
-9,12,8,0,0,48,35
-8,18,29,0,0,60,72
-7,18,12,0,0,70,57
-6,24,9,0,0,72,63
-5,14,17,0,0,57,83
-4,40,32,0,0,82,94
-3,18,33,0,0,50,92
-2,12,60,0,0,92,140
-1,251,166,0,0,294,271
0,0,81,168,168,80,252
1,0,4,27,27,267,244
2,0,4,22,26,70,114
3,0,0,25,28,25,64
4,0,0,11,42,71,52
5,0,0,15,39,42,44
6,0,0,25,23,47,40
7,0,0,32,24,38,33
8,0,0,16,25,44,47
9,0,0,21,8,27,27
10,0,0,17,10,27,21
11,0,0,24,9,42,14
12,0,0,2,11,11,11
13,0,0,2,6,35,5
14,0,0,4,2,13,5
15,0,0,13,2,14,2
16,0,0,15,0,18,0
17,0,0,1,0,2,0
18,0,0,4,0,4,0
19,0,0,4,0,10,0
20,0,0,2,0,2,0
