Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-34,0,0,0,0,15,0
-31,0,0,0,0,3,0
-30,0,0,0,0,6,0
-29,0,0,0,0,15,0
-28,0,0,0,0,21,0
-27,0,0,0,0,15,0
-26,3,0,0,0,3,0
-25,0,0,0,0,24,0
-24,0,0,0,0,57,15
-23,9,0,0,0,36,21
-22,6,0,0,0,33,12
-21,12,3,0,0,36,15
-20,45,3,0,0,63,24
-19,3,9,0,0,15,54
-18,60,9,0,0,189,63
-17,69,12,0,0,99,42
-16,12,27,0,0,180,51
-15,9,51,0,0,111,90
-14,87,24,0,0,174,105
-13,36,66,0,0,75,228
-12,12,42,0,0,162,153
-11,78,42,0,0,171,186
-10,54,51,0,0,126,129
-9,12,51,0,0,123,189
-8,45,39,0,0,147,138
-7,105,75,0,0,168,228
-6,15,48,0,0,96,174
-5,45,72,0,0,246,195
-4,252,63,0,0,306,180
-3,15,111,0,0,60,258
-2,9,183,0,0,297,366
-1,975,693,0,0,1047,966
0,0,210,204,204,306,780
1,0,63,21,21,1026,945
2,0,21,9,9,288,357
3,0,0,21,30,39,228
4,0,0,12,36,294,144
5,0,0,18,12,228,183
6,0,0,18,12,78,162
7,0,0,12,60,156,168
8,0,0,9,39,138,99
9,0,0,15,27,108,162
10,0,0,45,24,81,105
11,0,0,27,42,144,144
12,0,0,36,15,126,138
13,0,0,24,21,51,207
14,0,0,36,15,138,90
15,0,0,21,18,90,72
16,0,0,21,3,159,48
17,0,0,12,12,87,30
18,0,0,21,30,168,33
19,0,0,3,18,12,36
20,0,0,3,15,60,9
21,0,0,12,3,24,12
22,0,0,21,9,12,3
23,0,0,27,6,9,15
24,0,0,0,3,57,12
25,0,0,0,0,24,0
26,0,0,0,0,3,0
27,0,0,12,0,3,0
28,0,0,15,0,6,0
29,0,0,6,0,9,0
30,0,0,3,0,3,0
31,0,0,0,0,3,0
34,0,0,0,0,15,0
