Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-48,0,0,0,0,30,0
-45,0,0,0,0,21,0
-42,0,0,0,0,3,0
-41,0,0,0,0,3,0
-40,0,0,0,0,3,3
-39,0,0,0,0,66,15
-38,0,0,0,0,39,6
-37,0,0,0,0,27,12
-36,3,0,0,0,51,6
-35,24,0,0,0,57,21
-34,3,0,0,0,42,3
-33,15,0,0,0,72,27
-32,0,0,0,0,72,30
-31,3,9,0,0,21,36
-30,36,9,0,0,126,51
-29,27,6,0,0,75,30
-28,15,3,0,0,99,60
-27,87,9,0,0,198,63
-26,33,21,0,0,90,93
-25,12,24,0,0,234,108
-24,165,36,0,0,240,123
-23,141,36,0,0,186,126
-22,12,51,0,0,219,150
-21,186,45,0,0,714,132
-20,18,81,0,0,132,207
-19,15,117,0,0,312,273
-18,273,180,0,0,405,339
-17,57,84,0,0,156,486
-16,33,102,0,0,390,453
-15,213,132,0,0,438,369
-14,78,129,0,0,252,420
-13,159,165,0,0,510,510
-12,114,126,0,0,279,423
-11,12,123,0,0,267,369
-10,369,147,0,0,594,438
-9,51,138,0,0,135,405
-8,21,207,0,0,468,507
-7,435,132,0,0,843,459
-6,102,99,0,0,198,459
-5,15,144,0,0,714,489
-4,996,300,0,0,1206,672
-3,66,489,0,0,114,819
-2,12,720,0,0,933,1521
-1,3420,2190,0,0,3681,3015
0,0,903,240,240,948,2922
1,0,171,21,21,3660,2994
2,0,72,9,9,924,1512
3,0,18,18,33,96,786
4,0,3,15,30,1191,642
5,0,0,18,18,696,471
6,0,0,21,21,177,438
7,0,0,21,33,822,426
8,0,0,12,27,456,480
9,0,0,12,3,123,402
10,0,0,24,24,570,414
11,0,0,18,69,249,300
12,0,0,21,54,258,369
13,0,0,30,27,480,483
14,0,0,30,42,222,378
15,0,0,45,27,393,342
16,0,0,36,30,354,423
17,0,0,48,33,108,453
18,0,0,21,24,384,315
19,0,0,30,9,282,264
20,0,0,27,15,105,192
21,0,0,39,18,675,114
22,0,0,12,15,207,135
23,0,0,12,18,174,108
24,0,0,9,30,231,93
25,0,0,27,21,207,87
26,0,0,3,18,87,75
27,0,0,12,6,186,57
28,0,0,12,9,87,51
29,0,0,24,6,51,24
30,0,0,33,18,93,33
31,0,0,0,9,21,27
32,0,0,0,6,72,24
33,0,0,0,3,72,24
34,0,0,0,0,42,3
35,0,0,0,0,57,21
36,0,0,18,0,33,6
37,0,0,24,0,3,12
38,0,0,15,0,24,6
39,0,0,6,0,60,15
40,0,0,3,0,0,3
41,0,0,0,0,3,0
42,0,0,0,0,3,0
45,0,0,0,0,21,0
48,0,0,0,0,30,0
