Rank,Count (Max),Count (Avg)
0,81,81
1,106,106
2,140,173
3,182,226
4,204,301
5,204,319
6,187,297
7,186,282
8,176,247
9,177,278
10,180,296
11,169,304
12,182,327
13,173,313
14,162,322
15,180,328
16,188,320
17,207,328
18,213,291
19,209,264
20,214,213
21,221,198
22,224,176
23,224,165
24,199,131
25,193,90
26,182,65
27,169,52
28,159,31
29,164,13
30,145,11
31,123,7
32,101,6
33,98,0
34,91,0
35,84,0
36,76,0
37,70,0
38,62,0
39,56,0
40,46,0
41,43,0
42,38,0
43,32,0
44,20,0
45,9,0
46,4,0
47,4,0
48,2,0
49,2,0
