Rank,Count (Max),Count (Avg)
0,1,1
1,9,9
2,36,37
3,87,88
4,145,144
5,181,182
6,175,187
7,133,154
8,88,101
9,60,66
10,44,39
11,31,9
12,18,5
13,9,1
14,4,1
15,1,0
16,1,0
17,1,0
