Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-8,48,48,0,0,384,384
-7,812,812,0,0,5446,5446
-6,5578,5579,0,0,35942,35939
-5,22049,22104,0,0,140724,140640
-4,53365,53392,0,0,350413,349538
-3,84761,84557,0,0,570917,569571
-2,89621,91251,0,0,615677,619729
-1,952888,950620,0,0,2203953,2203973
0,0,759,6396312,6396312,2762888,2759360
1,0,0,304062,304062,1899891,1899911
2,0,0,392834,394476,222843,225253
3,0,0,393410,392731,177507,176840
4,0,0,252182,251348,98231,98190
5,0,0,105504,105382,35220,35258
6,0,0,28560,28553,7382,7386
7,0,0,4704,4704,742,742
8,0,0,384,384,0,0
