node,frm_value,to_value,rank_effect,count
5,1,4,-2,2800
5,2,4,-2,2800
5,3,4,-2,2800
5,0,1,-2,2800
5,0,2,-2,2800
5,0,3,-2,2800
5,0,4,-2,2800
5,1,0,-1,21011
5,1,2,-1,21011
5,1,3,-1,21011
5,1,4,-1,21011
5,2,0,-1,21011
5,2,1,-1,21011
5,2,3,-1,21011
5,2,4,-1,21011
5,3,0,-1,21011
5,3,1,-1,21011
5,3,2,-1,21011
5,3,4,-1,21011
5,4,0,-1,21011
5,4,1,-1,21011
5,4,2,-1,21011
5,4,3,-1,21011
5,0,1,-1,21011
5,0,2,-1,21011
5,0,3,-1,21011
5,0,4,-1,21011
6,2,1,-2,4592
6,3,1,-2,4592
6,4,1,-2,4592
6,1,2,-2,4592
6,3,2,-2,4592
6,4,2,-2,4592
6,1,3,-2,4592
6,2,3,-2,4592
6,4,3,-2,4592
6,1,4,-2,4592
6,2,4,-2,4592
6,3,4,-2,4592
6,0,1,-2,4592
6,0,2,-2,4592
6,0,3,-2,4592
6,0,4,-2,4592
6,2,0,-2,4592
6,3,0,-2,4592
6,4,0,-2,4592
6,1,0,-2,4592
6,1,0,-1,20035
6,1,2,-1,20035
6,1,3,-1,20035
6,1,4,-1,20035
6,2,0,-1,20035
6,2,1,-1,20035
6,2,3,-1,20035
6,2,4,-1,20035
6,3,0,-1,20035
6,3,1,-1,20035
6,3,2,-1,20035
6,3,4,-1,20035
6,4,0,-1,20035
6,4,1,-1,20035
6,4,2,-1,20035
6,4,3,-1,20035
6,0,1,-1,20035
6,0,2,-1,20035
6,0,3,-1,20035
6,0,4,-1,20035
7,2,0,-3,192
7,3,0,-3,192
7,4,0,-3,192
7,1,0,-3,192
7,2,1,-3,192
7,3,1,-3,192
7,4,1,-3,192
7,0,1,-3,192
7,1,2,-3,192
7,3,2,-3,192
7,4,2,-3,192
7,0,2,-3,192
7,1,3,-3,192
7,2,3,-3,192
7,4,3,-3,192
7,0,3,-3,192
7,1,4,-3,192
7,2,4,-3,192
7,3,4,-3,192
7,0,4,-3,192
7,2,0,-2,2800
7,3,0,-2,2800
7,4,0,-2,2800
7,1,0,-2,2800
7,2,1,-2,2800
7,3,1,-2,2800
7,4,1,-2,2800
7,1,2,-2,2800
7,3,2,-2,2800
7,4,2,-2,2800
7,1,3,-2,2800
7,2,3,-2,2800
7,4,3,-2,2800
7,1,4,-2,2800
7,2,4,-2,2800
7,3,4,-2,2800
7,0,1,-2,2800
7,0,2,-2,2800
7,0,3,-2,2800
7,0,4,-2,2800
7,1,0,-1,21011
7,2,0,-1,21011
7,3,0,-1,21011
7,4,0,-1,21011
7,2,1,-1,21011
7,3,1,-1,21011
7,4,1,-1,21011
7,1,2,-1,21011
7,3,2,-1,21011
7,4,2,-1,21011
7,1,3,-1,21011
7,2,3,-1,21011
7,4,3,-1,21011
7,1,4,-1,21011
7,2,4,-1,21011
7,3,4,-1,21011
7,0,1,-1,21011
7,0,2,-1,21011
7,0,3,-1,21011
7,0,4,-1,21011
