node,-2,-1,0,1,2
0,1392,2982,4374,2982,1392
1,1392,2982,4374,2982,1392
2,1392,2982,4374,2982,1392
3,1392,2982,4374,2982,1392
4,1392,2982,4374,2982,1392
5,1392,2982,4374,2982,1392
6,1392,2982,4374,2982,1392
7,1392,2982,4374,2982,1392
