Rank,Count (Max),Count (Avg)
0,2,2
1,10,10
2,21,21
3,27,27
4,29,31
5,33,35
6,42,49
7,51,50
8,51,51
9,49,49
10,57,58
11,68,64
12,66,69
13,46,45
14,20,13
15,4,2
