config,L,C,M
398,16,8,2
399,16,8,2
400,80,28,3
401,80,28,3
402,144,48,3
403,16,8,2
404,2,2,1
405,36,14,3
406,16,8,2
407,2,2,1
408,16,8,2
409,80,28,3
410,108,36,3
411,16,8,2
412,2,2,1
413,9,5,2
414,16,8,2
415,16,8,2
416,9,5,2
417,2,2,1
418,80,28,3
419,2,2,1
420,0,1,0
421,2,2,1
422,9,5,2
423,0,1,0
424,2,2,1
425,2,2,1
426,50,18,3
427,2,2,1
428,0,1,0
429,0,1,0
430,9,5,2
431,2,2,1
432,9,5,2
433,2,2,1
434,16,8,2
435,16,8,2
436,0,1,0
437,2,2,1
438,2,2,1
439,2,2,1
440,2,2,1
441,2,2,1
442,12,6,2
443,16,8,2
444,0,1,0
445,0,1,0
446,2,2,1
447,9,5,2
448,56,20,3
449,9,5,2
450,9,5,2
451,80,28,3
452,9,5,2
453,16,8,2
454,2,2,1
455,16,8,2
456,9,5,2
457,2,2,1
458,16,8,2
459,16,8,2
460,80,28,3
461,16,8,2
462,16,8,2
463,108,36,3
464,80,28,3
465,80,28,3
466,16,8,2
467,144,48,3
468,2,2,1
469,36,14,3
470,2,2,1
471,16,8,2
472,2,2,1
473,9,5,2
474,16,8,2
475,16,8,2
476,16,8,2
477,80,28,3
478,16,8,2
479,108,36,3
480,9,5,2
481,2,2,1
482,16,8,2
483,16,8,2
484,0,1,0
485,2,2,1
486,2,2,1
487,2,2,1
488,0,1,0
489,0,1,0
490,9,5,2
491,2,2,1
492,2,2,1
493,2,2,1
494,16,8,2
495,12,6,2
496,9,5,2
497,2,2,1
498,2,2,1
499,80,28,3
500,0,1,0
501,2,2,1
502,0,1,0
503,9,5,2
504,0,1,0
505,0,1,0
506,2,2,1
507,9,5,2
508,2,2,1
509,2,2,1
510,2,2,1
511,50,18,3
512,312,84,4
513,36,14,3
514,36,14,3
515,36,14,3
516,36,14,3
517,16,8,2
518,2,2,1
519,2,2,1
520,36,14,3
521,2,2,1
522,16,8,2
523,2,2,1
524,36,14,3
525,2,2,1
526,2,2,1
527,16,8,2
528,50,18,3
529,80,28,3
530,9,5,2
531,9,5,2
532,2,2,1
533,9,5,2
534,0,1,0
535,0,1,0
536,2,2,1
537,2,2,1
538,2,2,1
539,0,1,0
540,2,2,1
541,2,2,1
542,0,1,0
543,2,2,1
544,520,136,4
545,80,28,3
546,460,122,4
547,80,28,3
548,16,8,2
549,16,8,2
550,9,5,2
551,2,2,1
552,16,8,2
553,2,2,1
554,36,14,3
555,2,2,1
556,16,8,2
557,2,2,1
558,9,5,2
559,16,8,2
560,50,18,3
561,9,5,2
562,9,5,2
563,80,28,3
564,2,2,1
565,2,2,1
566,0,1,0
567,2,2,1
568,2,2,1
569,0,1,0
570,2,2,1
571,2,2,1
572,2,2,1
573,0,1,0
574,0,1,0
575,9,5,2
576,56,20,3
577,80,28,3
578,9,5,2
579,9,5,2
580,80,28,3
581,108,36,3
582,16,8,2
583,16,8,2
584,9,5,2
585,16,8,2
586,16,8,2
587,2,2,1
588,9,5,2
589,16,8,2
590,2,2,1
591,16,8,2
592,9,5,2
593,80,28,3
594,2,2,1
595,2,2,1
596,2,2,1
597,50,18,3
598,2,2,1
599,2,2,1
600,0,1,0
601,9,5,2
602,2,2,1
603,0,1,0
604,0,1,0
605,9,5,2
606,0,1,0
607,2,2,1
608,80,28,3
609,144,48,3
610,80,28,3
611,16,8,2
612,16,8,2
613,108,36,3
614,80,28,3
615,16,8,2
616,2,2,1
617,16,8,2
618,36,14,3
619,2,2,1
620,2,2,1
621,16,8,2
622,9,5,2
623,16,8,2
624,9,5,2
625,16,8,2
626,2,2,1
627,16,8,2
628,2,2,1
629,12,6,2
630,2,2,1
631,16,8,2
632,0,1,0
633,2,2,1
634,2,2,1
635,2,2,1
636,0,1,0
637,2,2,1
638,0,1,0
639,9,5,2
640,584,152,4
641,80,28,3
642,460,122,4
643,80,28,3
644,80,28,3
645,144,48,3
646,80,28,3
647,16,8,2
648,460,122,4
649,80,28,3
650,520,136,4
651,80,28,3
652,80,28,3
653,16,8,2
654,80,28,3
655,144,48,3
656,80,28,3
657,144,48,3
658,80,28,3
659,16,8,2
660,2,2,1
661,80,28,3
662,9,5,2
663,2,2,1
664,9,5,2
665,80,28,3
666,50,18,3
667,9,5,2
668,2,2,1
669,16,8,2
670,9,5,2
671,16,8,2
672,460,122,4
673,80,28,3
674,584,152,4
675,80,28,3
676,9,5,2
677,80,28,3
678,56,20,3
679,9,5,2
680,36,14,3
681,36,14,3
682,312,84,4
683,36,14,3
684,9,5,2
685,9,5,2
686,56,20,3
687,80,28,3
688,80,28,3
689,16,8,2
690,80,28,3
691,144,48,3
692,2,2,1
693,16,8,2
694,9,5,2
695,16,8,2
696,9,5,2
697,9,5,2
698,50,18,3
699,80,28,3
700,2,2,1
701,2,2,1
702,9,5,2
703,80,28,3
704,56,20,3
705,9,5,2
706,9,5,2
707,80,28,3
708,9,5,2
709,16,8,2
710,2,2,1
711,16,8,2
712,9,5,2
713,2,2,1
714,16,8,2
715,16,8,2
716,80,28,3
717,16,8,2
718,16,8,2
719,108,36,3
720,9,5,2
721,16,8,2
722,2,2,1
723,16,8,2
724,0,1,0
725,9,5,2
726,0,1,0
727,2,2,1
728,0,1,0
729,2,2,1
730,2,2,1
731,2,2,1
732,2,2,1
733,16,8,2
734,2,2,1
735,12,6,2
736,80,28,3
737,16,8,2
738,80,28,3
739,144,48,3
740,2,2,1
741,16,8,2
742,9,5,2
743,16,8,2
744,2,2,1
745,2,2,1
746,36,14,3
747,16,8,2
748,16,8,2
749,16,8,2
750,80,28,3
751,108,36,3
752,9,5,2
753,2,2,1
754,2,2,1
755,80,28,3
756,0,1,0
757,2,2,1
758,0,1,0
759,9,5,2
760,0,1,0
761,0,1,0
762,2,2,1
