,X,y
0,1,2.0
1,1,2.25
2,1,1.75
3,2,2.0
4,2,2.25
5,2,1.75
6,3,2.0
7,3,2.25
8,3,1.75
9,5,6.0
10,5,6.25
11,5,5.75
12,6,6.0
13,6,6.25
14,6,5.75
15,7,6.0
16,7,6.25
17,7,5.75
18,9,10.0
19,9,9.75
20,9,10.25
21,10,10.0
22,10,9.75
23,10,10.25
24,11,10.0
25,11,9.75
26,11,10.25
