node,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6
0,6,6,12,12,9,18,36,18,9,12,12,6,6
1,9,3,15,15,12,12,30,12,12,15,15,3,9
2,9,9,0,12,12,21,36,21,12,12,0,9,9
3,0,6,9,15,0,9,84,9,0,15,9,6,0
