,rank effect,count
0,-83,18
1,-82,6
2,-81,51
3,-80,36
4,-79,33
5,-78,27
6,-77,69
7,-76,48
8,-75,60
9,-74,48
10,-73,153
11,-72,126
12,-71,87
13,-70,147
14,-69,144
15,-68,141
16,-67,153
17,-66,234
18,-65,252
19,-64,192
20,-63,219
21,-62,264
22,-61,273
23,-60,309
24,-59,324
25,-58,372
26,-57,387
27,-56,618
28,-55,633
29,-54,744
30,-53,783
31,-52,726
32,-51,744
33,-50,894
34,-49,990
35,-48,1296
36,-47,1329
37,-46,1272
38,-45,1464
39,-44,1419
40,-43,1641
41,-42,1689
42,-41,1770
43,-40,1941
44,-39,2340
45,-38,2688
46,-37,2937
47,-36,3027
48,-35,3087
49,-34,3828
50,-33,4128
51,-32,4734
52,-31,6198
53,-30,7791
54,-29,8073
55,-28,8535
56,-27,7653
57,-26,8571
58,-25,8364
59,-24,8574
60,-23,9750
61,-22,9225
62,-21,9543
63,-20,9096
64,-19,9339
65,-18,8208
66,-17,8319
67,-16,8469
68,-15,8166
69,-14,8157
70,-13,8361
71,-12,9234
72,-11,9642
73,-10,10131
74,-9,11379
75,-8,13302
76,-7,14217
77,-6,16971
78,-5,21051
79,-4,27171
80,-3,36870
81,-2,56574
82,-1,103404
83,0,98514
84,1,103404
85,2,56574
86,3,36870
87,4,27171
88,5,21051
89,6,16971
90,7,14217
91,8,13302
92,9,11379
93,10,10131
94,11,9642
95,12,9234
96,13,8361
97,14,8157
98,15,8166
99,16,8469
100,17,8319
101,18,8208
102,19,9339
103,20,9096
104,21,9543
105,22,9225
106,23,9750
107,24,8574
108,25,8364
109,26,8571
110,27,7653
111,28,8535
112,29,8073
113,30,7791
114,31,6198
115,32,4734
116,33,4128
117,34,3828
118,35,3087
119,36,3027
120,37,2937
121,38,2688
122,39,2340
123,40,1941
124,41,1770
125,42,1689
126,43,1641
127,44,1419
128,45,1464
129,46,1272
130,47,1329
131,48,1296
132,49,990
133,50,894
134,51,744
135,52,726
136,53,783
137,54,744
138,55,633
139,56,618
140,57,387
141,58,372
142,59,324
143,60,309
144,61,273
145,62,264
146,63,219
147,64,192
148,65,252
149,66,234
150,67,153
151,68,141
152,69,144
153,70,147
154,71,87
155,72,126
156,73,153
157,74,48
158,75,60
159,76,48
160,77,69
161,78,27
162,79,33
163,80,36
164,81,51
165,82,6
166,83,18
