,rank effect,count
0,-68,15
1,-67,33
2,-66,18
3,-65,36
4,-64,24
5,-63,24
6,-62,42
7,-61,54
8,-60,45
9,-59,84
10,-58,57
11,-57,48
12,-56,117
13,-55,81
14,-54,72
15,-53,81
16,-52,135
17,-51,162
18,-50,141
19,-49,186
20,-48,210
21,-47,228
22,-46,270
23,-45,288
24,-44,339
25,-43,345
26,-42,327
27,-41,537
28,-40,516
29,-39,528
30,-38,582
31,-37,576
32,-36,699
33,-35,762
34,-34,837
35,-33,807
36,-32,939
37,-31,1158
38,-30,1368
39,-29,1350
40,-28,1743
41,-27,1797
42,-26,2907
43,-25,3108
44,-24,3198
45,-23,3006
46,-22,3324
47,-21,3027
48,-20,2985
49,-19,3321
50,-18,2982
51,-17,3087
52,-16,3219
53,-15,2973
54,-14,3042
55,-13,2889
56,-12,3195
57,-11,3231
58,-10,3093
59,-9,3360
60,-8,3966
61,-7,4074
62,-6,4998
63,-5,5916
64,-4,8421
65,-3,11121
66,-2,17142
67,-1,32316
68,0,31170
69,1,32316
70,2,17142
71,3,11121
72,4,8421
73,5,5916
74,6,4998
75,7,4074
76,8,3966
77,9,3360
78,10,3093
79,11,3231
80,12,3195
81,13,2889
82,14,3042
83,15,2973
84,16,3219
85,17,3087
86,18,2982
87,19,3321
88,20,2985
89,21,3027
90,22,3324
91,23,3006
92,24,3198
93,25,3108
94,26,2907
95,27,1797
96,28,1743
97,29,1350
98,30,1368
99,31,1158
100,32,939
101,33,807
102,34,837
103,35,762
104,36,699
105,37,576
106,38,582
107,39,528
108,40,516
109,41,537
110,42,327
111,43,345
112,44,339
113,45,288
114,46,270
115,47,228
116,48,210
117,49,186
118,50,141
119,51,162
120,52,135
121,53,81
122,54,72
123,55,81
124,56,117
125,57,48
126,58,57
127,59,84
128,60,45
129,61,54
130,62,42
131,63,24
132,64,24
133,65,36
134,66,18
135,67,33
136,68,15
