node,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,6,0,0,9,3,18,24,9,3,27,30,27,27,39,24,54,30,84,42,33,24,30,39,102,90,102,39,30,24,33,42,84,30,54,24,39,27,27,30,27,3,9,24,18,3,9,0,0,6
1,6,9,3,3,9,9,12,6,12,12,27,21,21,57,0,18,15,27,27,18,15,66,93,198,90,198,93,66,15,18,27,27,15,18,0,57,21,21,27,12,12,6,12,9,9,3,3,9,6
2,0,3,3,0,3,15,9,15,3,30,15,54,27,12,18,33,24,21,12,18,27,33,48,180,252,180,48,33,27,18,12,21,24,33,18,12,27,54,15,30,3,15,9,15,3,0,3,3,0
3,0,6,3,3,6,6,9,9,15,15,21,27,21,33,36,21,27,18,27,24,21,33,96,195,114,195,96,33,21,24,27,18,27,21,36,33,21,27,21,15,15,9,9,6,6,3,3,6,0
4,3,3,3,0,3,6,9,3,18,6,6,12,9,24,33,54,33,42,36,63,69,57,51,138,96,138,51,57,69,63,36,42,33,54,33,24,9,12,6,6,18,3,9,6,3,0,3,3,3
5,0,0,0,0,0,0,0,0,0,0,6,87,48,21,18,9,9,36,30,39,24,39,39,153,342,153,39,39,24,39,30,36,9,9,18,21,48,87,6,0,0,0,0,0,0,0,0,0,0
