,rank effect,count
0,-100,15
1,-99,15
2,-98,21
3,-97,9
4,-96,12
5,-95,36
6,-94,84
7,-93,45
8,-92,48
9,-91,48
10,-90,75
11,-89,114
12,-88,90
13,-87,174
14,-86,210
15,-85,168
16,-84,177
17,-83,270
18,-82,351
19,-81,225
20,-80,294
21,-79,435
22,-78,384
23,-77,405
24,-76,399
25,-75,435
26,-74,462
27,-73,495
28,-72,564
29,-71,573
30,-70,633
31,-69,729
32,-68,888
33,-67,885
34,-66,939
35,-65,1143
36,-64,1161
37,-63,1488
38,-62,1827
39,-61,1737
40,-60,1992
41,-59,1977
42,-58,2319
43,-57,2667
44,-56,2820
45,-55,3135
46,-54,3294
47,-53,3096
48,-52,3411
49,-51,3699
50,-50,4359
51,-49,4338
52,-48,4368
53,-47,4935
54,-46,6087
55,-45,6537
56,-44,6816
57,-43,7368
58,-42,7263
59,-41,7962
60,-40,9429
61,-39,10188
62,-38,11121
63,-37,12900
64,-36,14385
65,-35,19056
66,-34,20391
67,-33,20433
68,-32,21516
69,-31,21012
70,-30,22455
71,-29,23823
72,-28,25371
73,-27,27261
74,-26,27006
75,-25,27138
76,-24,27273
77,-23,27993
78,-22,26433
79,-21,24846
80,-20,24255
81,-19,23049
82,-18,21984
83,-17,21975
84,-16,24213
85,-15,25080
86,-14,25497
87,-13,27084
88,-12,29385
89,-11,31734
90,-10,35175
91,-9,38172
92,-8,42258
93,-7,47715
94,-6,57093
95,-5,69351
96,-4,90540
97,-3,121218
98,-2,182619
99,-1,331239
100,0,304890
101,1,331239
102,2,182619
103,3,121218
104,4,90540
105,5,69351
106,6,57093
107,7,47715
108,8,42258
109,9,38172
110,10,35175
111,11,31734
112,12,29385
113,13,27084
114,14,25497
115,15,25080
116,16,24213
117,17,21975
118,18,21984
119,19,23049
120,20,24255
121,21,24846
122,22,26433
123,23,27993
124,24,27273
125,25,27138
126,26,27006
127,27,27261
128,28,25371
129,29,23823
130,30,22455
131,31,21012
132,32,21516
133,33,20433
134,34,20391
135,35,19056
136,36,14385
137,37,12900
138,38,11121
139,39,10188
140,40,9429
141,41,7962
142,42,7263
143,43,7368
144,44,6816
145,45,6537
146,46,6087
147,47,4935
148,48,4368
149,49,4338
150,50,4359
151,51,3699
152,52,3411
153,53,3096
154,54,3294
155,55,3135
156,56,2820
157,57,2667
158,58,2319
159,59,1977
160,60,1992
161,61,1737
162,62,1827
163,63,1488
164,64,1161
165,65,1143
166,66,939
167,67,885
168,68,888
169,69,729
170,70,633
171,71,573
172,72,564
173,73,495
174,74,462
175,75,435
176,76,399
177,77,405
178,78,384
179,79,435
180,80,294
181,81,225
182,82,351
183,83,270
184,84,177
185,85,168
186,86,210
187,87,174
188,88,90
189,89,114
190,90,75
191,91,48
192,92,48
193,93,45
194,94,84
195,95,36
196,96,12
197,97,9
198,98,21
199,99,15
200,100,15
