node,-2,-1,0,1,2
0,684,3252,4416,3252,684
1,684,3252,4416,3252,684
2,684,3252,4416,3252,684
3,684,3252,4416,3252,684
4,684,3252,4416,3252,684
5,684,3252,4416,3252,684
