Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-3,300,300,0,0,960,960
-2,8826,8826,0,0,28830,28830
-1,105180,105180,0,0,350700,350700
0,0,0,113280,113280,525420,525420
1,0,0,102000,102000,248700,248700
2,0,0,17760,17760,11070,11070
3,0,0,960,960,0,0
