Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-8,48,48,0,0,384,384
-7,768,768,0,0,5376,5376
-6,5376,5376,0,0,35712,35712
-5,21504,21504,0,0,140112,140112
-4,53760,53760,0,0,350448,350448
-3,86016,86016,0,0,571704,571704
-2,89088,89088,0,0,609264,609264
-1,976206,976206,0,0,2200056,2200056
0,0,0,6396312,6396312,2783688,2783688
1,0,0,296256,296256,1903800,1903800
2,0,0,397584,397584,211680,211680
3,0,0,395808,395808,175896,175896
4,0,0,252840,252840,97608,97608
5,0,0,105504,105504,34608,34608
6,0,0,28560,28560,7152,7152
7,0,0,4704,4704,672,672
8,0,0,384,384,0,0
