node,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10
0,14195,522919,131720,848215,538354,4231658,1321862,8254621,3730539,3043191,3013241,42331660,4548524,50440341,4328659,3009304,2687014,3303989,323896,348264,293553,355177,4704
1,0,0,0,0,39887,1292271,331408,1337498,348002,1566134,485833,29108893,4687605,53244460,1653452,4125990,82567,0,0,0,0,0,0
2,0,0,0,0,39887,1292271,331408,1337498,348002,1566134,401330,29013293,5312183,52884722,1568715,4125990,82567,0,0,0,0,0,0
3,0,0,0,0,39887,1292271,331408,1337498,348002,1566134,361986,28951223,5655626,52682180,1529228,4125990,82567,0,0,0,0,0,0
4,39883,1116921,178009,1342065,516194,3874213,893889,6048649,1333322,3595578,2499741,42903262,3829915,55004240,3455306,3597508,1026507,3031240,709797,2109799,223589,291445,4528
5,0,0,0,0,40113,1379607,250928,1164024,214806,1856583,423843,29299096,4437192,53804239,1345972,3985943,101654,0,0,0,0,0,0
6,0,0,0,0,40113,1379607,250928,1164024,214806,1856583,388435,29132953,5077401,53400989,1310564,3985943,101654,0,0,0,0,0,0
7,23876,568850,74962,447572,202928,4601421,855215,7356550,2404622,4080741,3111291,43354164,3918874,51678899,4413202,4859007,1891301,3028928,41164,693585,18448,0,0
8,0,0,0,0,56100,1269494,346412,1186824,275889,1852468,437449,28964948,5106908,53138958,1503560,3934607,85360,142701,2322,0,0,0,0
9,0,0,0,0,56100,1269494,346412,1186824,275889,1852468,379165,28840079,5714678,52772598,1445303,3934607,85360,142701,2322,0,0,0,0
10,0,0,0,0,56100,1269494,346412,1186824,275889,1852468,363397,28747429,6055960,52555242,1429795,3934607,85360,142701,2322,0,0,0,0
