node,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6
0,10,2,14,7,10,4,15,106,54,136,15,4,8,7,4
1,5,7,10,4,4,9,9,114,46,152,9,14,9,2,2
2,0,11,7,5,7,8,15,103,38,157,25,11,8,1,0
