node,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,0,1034,19252,28631,120304,588687,1128153,1651014,2360275,2388690,2361318,2401383,3291151,4380760,3932202,3055118,7712748,57688524,18003722,77143478,8042677,1624530,2075509,2411832,1849963,1516155,1353865,1218412,1039045,472091,94562,28407,16200,308,0
1,0,16,9220,28157,44735,157856,650038,851041,1559167,1704879,2074121,2478817,2606249,2460773,2991592,4880187,9878190,57027749,18645167,77662997,10027781,3505681,2335318,1992590,2095449,2205430,1203238,525573,269606,101042,23447,3381,513,0,0
2,0,17,2225,27679,232093,613918,1208218,1598623,2241861,2189150,2403138,2340497,2462004,2866121,3144224,3493514,9261070,57023097,20838665,76578098,9085282,1923109,1679847,1609152,1529825,1453011,1364271,1086707,953416,526236,236940,25121,2756,113,2
3,0,0,0,436,21285,377050,764591,632608,1642081,1338561,1768097,2571192,2762872,3516358,4213653,4351045,8491981,54284099,15087480,77357006,10360827,4722414,5001420,4243646,2943214,2239988,1027073,213045,33691,24712,8449,1126,0,0,0
4,0,0,10,1752,16111,143623,460965,814904,1249621,1762636,1685129,1934777,2175190,2445245,3634799,6434586,11445432,52339543,14885772,76726975,14481334,6951858,3997831,2523571,1886807,1061392,485966,287311,106433,32037,13479,10892,3755,264,0
5,467,4014,47734,95885,322821,835513,1093820,1325642,1663890,1940083,2374697,2544699,2342006,2844845,3016246,4013877,7766847,56090471,16964272,77250602,8832353,3394668,2702954,2693523,2678841,2789597,2344060,1318984,436151,148415,65859,37548,17106,1453,57
6,0,56,2941,22894,39155,153707,756717,1202770,1285364,1450405,1368256,1791164,2577752,3993566,4089461,4042682,7327714,54999331,17909216,79001747,8989121,4430921,4709161,4679105,2853788,1265669,510665,304417,178555,56597,6362,739,2,0,0
7,0,1023,20578,70303,122679,444530,765851,1106682,1458838,1594052,1524237,1733090,1653680,2223431,3294927,6097408,10739855,51235817,14945908,78459798,14327176,7880523,4147103,2490025,1448940,1007984,539758,373739,184668,66177,23839,17148,233,0,0
