node,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5
0,3541,2603,6941,5347,3032,3112,35848,14014,39767,3595,3032,3078,3066
1,501,523,667,357,1024,0,25522,6593,47542,1095,2192,0,0
2,480,544,631,393,1024,10,26218,4537,48810,1234,2135,0,0
3,474,550,621,403,1024,279,26379,3298,49030,1839,2119,0,0
4,460,564,611,413,1024,737,26266,2215,48900,2731,2095,0,0
5,450,574,596,428,1024,1405,25945,1050,48506,3968,2070,0,0
6,431,593,566,458,1024,2411,25237,39,47324,5912,2021,0,0
