,rank effect,count
0,-8,50
1,-7,193
2,-6,81
3,-5,309
4,-4,61
5,-3,320
6,-2,260
7,-1,2706
8,0,767
9,1,3796
10,2,349
11,3,458
12,4,49
13,5,97
14,6,8
