node,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9
0,10,475,1322,1275,2678,1630,1692,873,2081,3914,22032,7111,30974,3478,1221,771,1380,1042,1283,292,2
1,2,142,1135,1303,1506,1410,608,903,2890,2627,23676,6440,32231,3356,2920,2401,1228,531,225,2,0
2,10,475,1322,1275,2678,1630,1692,873,2081,3914,22032,7111,30974,3478,1221,771,1380,1042,1283,292,2
3,2,142,1135,1303,1506,1410,608,903,2890,2627,23676,6440,32231,3356,2920,2401,1228,531,225,2,0
4,0,59,958,1303,1185,1536,1163,642,2741,3348,21249,6634,32594,5478,3760,1315,1270,300,1,0,0
5,0,59,958,1303,1185,1536,1163,642,2741,3348,21249,6634,32594,5478,3760,1315,1270,300,1,0,0
