,rank effect,count
0,-17,6732
1,-16,5556
2,-15,7704
3,-14,4776
4,-13,1344
5,-11,4320
6,-10,96
7,-9,7620
8,-8,1020
9,-7,8640
10,-6,1920
11,-5,5532
12,-4,2340
13,-3,2274
14,-2,7692
15,-1,190986
16,0,24300
17,1,308536
18,2,12540
19,3,2472
20,4,2895
21,5,5745
22,6,2360
23,7,8520
24,8,1335
25,9,6330
26,10,147
27,11,2742
28,12,6
29,13,448
30,14,3696
31,15,2448
