,rank effect,count
0,-24,2279520
1,-23,3518487
2,-22,4160592
3,-21,3579813
4,-20,663120
5,-19,171341
6,-18,209664
7,-17,629055
8,-16,769500
9,-15,1400796
10,-14,1649664
11,-13,2204160
12,-12,2290176
13,-11,2709504
14,-10,2161152
15,-9,2677248
16,-8,1405152
17,-7,1943832
18,-6,714396
19,-5,925416
20,-4,324972
21,-3,1580499
22,-2,13333968
23,-1,51528437
24,0,35511552
25,1,51528437
26,2,13333968
27,3,1580499
28,4,324972
29,5,925416
30,6,714396
31,7,1943832
32,8,1405152
33,9,2677248
34,10,2161152
35,11,2709504
36,12,2290176
37,13,2204160
38,14,1649664
39,15,1400796
40,16,769500
41,17,629055
42,18,209664
43,19,171341
44,20,663120
45,21,3579813
46,22,4160592
47,23,3518487
48,24,2279520
