node,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6
0,4821,140419,85779,248506,198405,104122,135250,1620642,312621,1790125,188778,104122,144394,81093,1883
1,169,41257,20047,46034,15437,61376,6473,1079847,251051,1959792,56126,148727,64,0,0
2,169,41257,20047,46034,15437,61376,5344,1073422,274842,1944684,54997,148727,64,0,0
3,169,41257,20047,46034,15437,61376,4477,1068753,292317,1933612,54130,148727,64,0,0
4,5461,60653,20053,95363,17643,108431,38016,1439250,272702,2166758,84143,158732,6666,31419,310
5,17423,187115,42735,299027,35718,229869,78214,1678519,102092,1969155,99128,282893,23454,104152,11466
6,3487,44679,15586,38800,5983,75785,24715,1131488,35811,2098238,62863,143977,4988,0,0
7,3487,44679,15586,38800,5983,75785,24212,1131392,37882,2097498,62131,143977,4988,0,0
8,4057,44752,15575,39096,5049,75791,20502,1130112,54557,2091348,54591,145400,5570,0,0
