node,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0,0,0,0,6,30,169,110,167,253,119,188,83,686,4605,2376,7138,831,53,132,53,183,79,16,3,0,0,0,0,0
1,0,0,0,3,19,88,183,261,244,305,247,198,233,752,5749,2995,8247,712,205,134,114,198,130,76,25,2,0,0,0,0
2,0,0,0,3,19,89,178,266,240,308,236,205,214,799,5625,3154,8146,772,191,130,112,203,127,77,23,3,0,0,0,0
3,70,75,38,73,78,342,318,543,289,390,295,737,1015,1117,5001,1586,7472,1445,1340,993,387,216,79,85,36,73,51,16,31,1
4,38,106,27,64,46,171,325,208,335,258,370,508,652,1209,5376,1425,7211,2070,955,760,523,195,16,54,18,56,5,59,0,0
