node,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0,476,5212,11634,66119,68761,84859,70338,72893,90744,195830,314702,1888442,611854,2882748,410040,248014,112681,63548,28375,21672,4109,4384,125,40,0
1,0,0,134,2796,15374,50533,50746,37719,40377,61170,159063,227733,1761576,606238,2558763,387391,232735,114477,26465,2112,597,1,0,0,0,0
2,0,0,129,2755,14561,51832,48703,38970,47976,69557,127666,265393,1725552,637656,2510014,444963,213701,106404,27471,2099,597,1,0,0,0,0
3,442,1317,7364,13422,37620,66153,112047,87986,161384,120515,156327,311766,2038384,582227,2756930,347466,158042,122377,108258,42398,16966,5453,2431,325,0,0
4,63,765,7148,16477,59634,71132,118934,88250,160772,154620,204685,333009,1983597,610870,2714802,371653,230129,166348,121928,45329,21079,5602,1099,73,2,0
5,141,1238,7834,27144,74741,67633,96887,73663,83094,131050,197864,270090,2041035,684679,2714958,266590,173478,133333,108244,57376,33737,7524,4113,873,279,2
6,33,765,6770,25209,74779,57565,125070,69110,91211,61319,138676,285195,2014263,712269,2663150,265861,75454,44870,65202,46510,63978,17839,6133,707,60,2
