node,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,0,12,345,2131,8536,44899,146269,182091,222931,406481,419294,491708,454853,688899,1104827,1463711,3331807,19541965,5259477,29486039,5196551,1845225,1393510,871531,409375,200216,111956,103338,11619,724,0,0,0,0,0,0
1,0,0,44,1793,14984,47281,117553,264902,265516,276250,478370,564197,627770,613207,899515,986291,1300201,3144710,19152083,4953322,28829499,5148464,1828361,1363579,1100213,604526,345696,242709,177943,40458,10848,35,0,0,0,0,0
2,0,0,0,0,0,0,0,0,34,4405,100157,276348,266500,273188,818134,693457,1008004,2298532,13533639,1807215,23602030,5307793,1700395,1490992,1558794,274935,32132,3518,38,0,0,0,0,0,0,0,0
3,0,32,993,14033,76342,265844,444991,686498,735352,702997,839285,1041288,1380176,1447640,1731003,1629521,1764073,2949389,19147667,6739082,27895664,3640309,2004964,1827878,1590275,1253516,1021303,721199,456290,271437,131587,87670,48600,26680,1764,18,0
4,25,830,9704,35787,101263,212119,419232,473802,560160,617117,797610,843310,1084879,1003258,1087839,1348223,2314619,3755301,19143163,8597183,26640929,4088092,2451628,1479908,1109885,913480,757543,518200,423743,189761,204353,39910,37909,3453,393,29,0
5,42,1133,8775,28804,94123,180840,301208,353891,386126,375923,422477,519645,615816,741267,846602,764041,1217573,2607345,21031323,8321154,28922764,2180276,742564,483131,507770,417703,276991,181500,181298,192184,215142,152159,87434,30345,9634,1278,39
6,2,231,3043,15415,47967,117268,250165,310413,344441,418563,468131,712314,847152,867282,920343,1029946,1883524,2681465,21190126,7475308,29059589,2622402,1782948,1097539,810688,650508,519653,336806,166186,193156,153954,61545,20554,8901,2627,180,1
7,0,4,462,4576,25153,50126,133253,207501,327193,375640,577003,603773,721889,877811,888082,896415,1152862,2966565,21317397,7256909,28849039,2760725,647266,556111,533589,505551,369447,233727,225939,151280,113543,43961,22063,4867,596,2,0
